Id,Id2,Geography,Estimate; Total:,Under 50K,Over 50K
8600000US51357,51357,ZCTA5 51357,263,140,123
8600000US51358,51358,ZCTA5 51358,529,294,235
8600000US51360,51360,ZCTA5 51360,3899,1497,2402
8600000US51363,51363,ZCTA5 51363,62,32,30
8600000US51364,51364,ZCTA5 51364,301,157,144
8600000US51365,51365,ZCTA5 51365,109,58,51
8600000US51366,51366,ZCTA5 51366,164,89,75
8600000US51401,51401,ZCTA5 51401,5120,2594,2526
8600000US51430,51430,ZCTA5 51430,302,115,187
8600000US51431,51431,ZCTA5 51431,186,88,98
8600000US51433,51433,ZCTA5 51433,225,116,109
8600000US51436,51436,ZCTA5 51436,296,129,167
8600000US51439,51439,ZCTA5 51439,451,204,247
8600000US51440,51440,ZCTA5 51440,135,51,84
8600000US51441,51441,ZCTA5 51441,197,145,52
8600000US51442,51442,ZCTA5 51442,3222,1727,1495
8600000US51443,51443,ZCTA5 51443,731,339,392
8600000US51444,51444,ZCTA5 51444,90,38,52
8600000US51445,51445,ZCTA5 51445,1265,691,574
8600000US51446,51446,ZCTA5 51446,241,158,83
8600000US51447,51447,ZCTA5 51447,86,40,46
8600000US51448,51448,ZCTA5 51448,240,141,99
8600000US51449,51449,ZCTA5 51449,922,520,402
8600000US51450,51450,ZCTA5 51450,718,334,384
8600000US51451,51451,ZCTA5 51451,45,35,10
8600000US51453,51453,ZCTA5 51453,304,155,149
8600000US51454,51454,ZCTA5 51454,616,316,300
8600000US51455,51455,ZCTA5 51455,1023,515,508
8600000US51458,51458,ZCTA5 51458,635,325,310
8600000US51459,51459,ZCTA5 51459,31,23,8
8600000US51461,51461,ZCTA5 51461,487,208,279
8600000US51462,51462,ZCTA5 51462,406,213,193
8600000US51463,51463,ZCTA5 51463,232,110,122
8600000US51465,51465,ZCTA5 51465,322,138,184
8600000US51466,51466,ZCTA5 51466,347,142,205
8600000US51467,51467,ZCTA5 51467,284,114,170
8600000US51501,51501,ZCTA5 51501,13734,8061,5673
8600000US51503,51503,ZCTA5 51503,14700,6323,8377
8600000US51510,51510,ZCTA5 51510,1488,754,734
8600000US51520,51520,ZCTA5 51520,105,67,38
8600000US51521,51521,ZCTA5 51521,786,344,442
8600000US51523,51523,ZCTA5 51523,162,86,76
8600000US51525,51525,ZCTA5 51525,444,208,236
8600000US51526,51526,ZCTA5 51526,605,169,436
8600000US51527,51527,ZCTA5 51527,154,77,77
8600000US51528,51528,ZCTA5 51528,336,200,136
8600000US51529,51529,ZCTA5 51529,755,367,388
8600000US51530,51530,ZCTA5 51530,412,195,217
8600000US51531,51531,ZCTA5 51531,315,131,184
8600000US51532,51532,ZCTA5 51532,259,115,144
8600000US51533,51533,ZCTA5 51533,376,152,224
8600000US51534,51534,ZCTA5 51534,3321,1215,2106
8600000US51535,51535,ZCTA5 51535,722,369,353
8600000US51536,51536,ZCTA5 51536,164,64,100
8600000US51537,51537,ZCTA5 51537,2905,1454,1451
8600000US51540,51540,ZCTA5 51540,168,94,74
8600000US51541,51541,ZCTA5 51541,130,55,75
8600000US51542,51542,ZCTA5 51542,351,89,262
8600000US51543,51543,ZCTA5 51543,209,102,107
8600000US51544,51544,ZCTA5 51544,388,174,214
8600000US51545,51545,ZCTA5 51545,126,105,21
8600000US51546,51546,ZCTA5 51546,1079,403,676
8600000US51548,51548,ZCTA5 51548,143,54,89
8600000US51549,51549,ZCTA5 51549,184,79,105
8600000US51550,51550,ZCTA5 51550,65,33,32
8600000US51551,51551,ZCTA5 51551,646,209,437
8600000US51552,51552,ZCTA5 51552,127,44,83
8600000US51553,51553,ZCTA5 51553,391,128,263
8600000US51554,51554,ZCTA5 51554,76,69,7
8600000US51555,51555,ZCTA5 51555,2139,998,1141
8600000US51556,51556,ZCTA5 51556,181,83,98
8600000US51557,51557,ZCTA5 51557,347,168,179
8600000US51558,51558,ZCTA5 51558,229,115,114
8600000US51559,51559,ZCTA5 51559,682,301,381
8600000US51560,51560,ZCTA5 51560,866,279,587
8600000US51561,51561,ZCTA5 51561,496,248,248
8600000US51562,51562,ZCTA5 51562,146,52,94
8600000US51563,51563,ZCTA5 51563,278,143,135
8600000US51564,51564,ZCTA5 51564,214,135,79
8600000US51565,51565,ZCTA5 51565,208,114,94
8600000US51566,51566,ZCTA5 51566,3027,1808,1219
8600000US51570,51570,ZCTA5 51570,389,171,218
8600000US51571,51571,ZCTA5 51571,220,79,141
8600000US51572,51572,ZCTA5 51572,177,119,58
8600000US51573,51573,ZCTA5 51573,448,155,293
8600000US51575,51575,ZCTA5 51575,651,213,438
8600000US51576,51576,ZCTA5 51576,707,176,531
8600000US51577,51577,ZCTA5 51577,511,223,288
8600000US51578,51578,ZCTA5 51578,37,18,19
8600000US51579,51579,ZCTA5 51579,984,429,555
8600000US51601,51601,ZCTA5 51601,2464,1471,993
8600000US51630,51630,ZCTA5 51630,98,51,47
8600000US51631,51631,ZCTA5 51631,131,69,62
8600000US51632,51632,ZCTA5 51632,2657,1377,1280
8600000US51636,51636,ZCTA5 51636,183,91,92
8600000US51637,51637,ZCTA5 51637,85,66,19
8600000US51638,51638,ZCTA5 51638,597,271,326
8600000US51639,51639,ZCTA5 51639,368,153,215
8600000US51640,51640,ZCTA5 51640,664,358,306
8600000US51645,51645,ZCTA5 51645,111,46,65
8600000US51646,51646,ZCTA5 51646,313,154,159
8600000US51647,51647,ZCTA5 51647,53,38,15
8600000US51648,51648,ZCTA5 51648,78,22,56
8600000US51649,51649,ZCTA5 51649,132,48,84
8600000US51650,51650,ZCTA5 51650,165,72,93
8600000US51652,51652,ZCTA5 51652,683,302,381
8600000US51653,51653,ZCTA5 51653,549,218,331
8600000US51654,51654,ZCTA5 51654,212,100,112
8600000US51656,51656,ZCTA5 51656,31,22,9
8600000US52001,52001,ZCTA5 52001,17587,9781,7806
8600000US52002,52002,ZCTA5 52002,6141,2009,4132
8600000US52003,52003,ZCTA5 52003,5424,2359,3065
8600000US52030,52030,ZCTA5 52030,152,84,68
8600000US52031,52031,ZCTA5 52031,2091,954,1137
8600000US52032,52032,ZCTA5 52032,609,195,414
8600000US52033,52033,ZCTA5 52033,1280,538,742
8600000US52035,52035,ZCTA5 52035,485,190,295
8600000US52037,52037,ZCTA5 52037,477,192,285
8600000US52038,52038,ZCTA5 52038,206,63,143
8600000US52039,52039,ZCTA5 52039,411,139,272
8600000US52040,52040,ZCTA5 52040,2251,1049,1202
8600000US52041,52041,ZCTA5 52041,649,232,417
8600000US52042,52042,ZCTA5 52042,653,312,341
8600000US52043,52043,ZCTA5 52043,989,484,505
8600000US52044,52044,ZCTA5 52044,53,26,27
8600000US52045,52045,ZCTA5 52045,932,387,545
8600000US52046,52046,ZCTA5 52046,783,197,586
8600000US52047,52047,ZCTA5 52047,228,134,94
8600000US52048,52048,ZCTA5 52048,143,55,88
8600000US52049,52049,ZCTA5 52049,593,300,293
8600000US52050,52050,ZCTA5 52050,278,142,136
8600000US52052,52052,ZCTA5 52052,1297,754,543
8600000US52053,52053,ZCTA5 52053,394,159,235
8600000US52054,52054,ZCTA5 52054,401,170,231
8600000US52057,52057,ZCTA5 52057,3151,1368,1783
8600000US52060,52060,ZCTA5 52060,3759,2142,1617
8600000US52064,52064,ZCTA5 52064,409,153,256
8600000US52065,52065,ZCTA5 52065,456,198,258
8600000US52066,52066,ZCTA5 52066,34,29,5
8600000US52068,52068,ZCTA5 52068,1516,428,1088
8600000US52069,52069,ZCTA5 52069,680,327,353
8600000US52070,52070,ZCTA5 52070,439,198,241
8600000US52072,52072,ZCTA5 52072,113,43,70
8600000US52073,52073,ZCTA5 52073,433,139,294
8600000US52074,52074,ZCTA5 52074,150,75,75
8600000US52076,52076,ZCTA5 52076,920,473,447
8600000US52077,52077,ZCTA5 52077,164,70,94
8600000US52078,52078,ZCTA5 52078,399,104,295
8600000US52079,52079,ZCTA5 52079,348,160,188
8600000US52101,52101,ZCTA5 52101,5303,2248,3055
8600000US52132,52132,ZCTA5 52132,840,414,426
8600000US52133,52133,ZCTA5 52133,235,78,157
8600000US52134,52134,ZCTA5 52134,153,90,63
8600000US52135,52135,ZCTA5 52135,345,199,146
8600000US52136,52136,ZCTA5 52136,2406,1160,1246
8600000US52140,52140,ZCTA5 52140,269,125,144
8600000US52141,52141,ZCTA5 52141,642,336,306
8600000US52142,52142,ZCTA5 52142,531,318,213
8600000US52144,52144,ZCTA5 52144,510,237,273
8600000US52146,52146,ZCTA5 52146,491,273,218
8600000US52147,52147,ZCTA5 52147,472,184,288
8600000US52151,52151,ZCTA5 52151,894,487,407
8600000US52154,52154,ZCTA5 52154,385,200,185
8600000US52155,52155,ZCTA5 52155,488,259,229
8600000US52156,52156,ZCTA5 52156,298,175,123
8600000US52157,52157,ZCTA5 52157,799,421,378
8600000US52158,52158,ZCTA5 52158,148,102,46
8600000US52159,52159,ZCTA5 52159,1101,535,566
8600000US52160,52160,ZCTA5 52160,511,264,247
8600000US52161,52161,ZCTA5 52161,602,275,327
8600000US52162,52162,ZCTA5 52162,1270,803,467
8600000US52163,52163,ZCTA5 52163,141,93,48
8600000US52164,52164,ZCTA5 52164,91,43,48
8600000US52165,52165,ZCTA5 52165,344,191,153
8600000US52166,52166,ZCTA5 52166,57,21,36
8600000US52168,52168,ZCTA5 52168,106,71,35
8600000US52169,52169,ZCTA5 52169,181,110,71
8600000US52170,52170,ZCTA5 52170,222,79,143
8600000US52171,52171,ZCTA5 52171,370,150,220
8600000US52172,52172,ZCTA5 52172,2508,1364,1144
8600000US52175,52175,ZCTA5 52175,1590,899,691
8600000US52201,52201,ZCTA5 52201,497,144,353
8600000US52202,52202,ZCTA5 52202,385,147,238
8600000US52203,52203,ZCTA5 52203,834,319,515
8600000US52205,52205,ZCTA5 52205,3131,1484,1647
8600000US52206,52206,ZCTA5 52206,830,220,610
8600000US52207,52207,ZCTA5 52207,189,92,97
8600000US52208,52208,ZCTA5 52208,1294,736,558
8600000US52209,52209,ZCTA5 52209,412,149,263
8600000US52210,52210,ZCTA5 52210,285,119,166
8600000US52211,52211,ZCTA5 52211,1065,524,541
8600000US52212,52212,ZCTA5 52212,92,45,47
8600000US52213,52213,ZCTA5 52213,1597,451,1146
8600000US52214,52214,ZCTA5 52214,1380,565,815
8600000US52215,52215,ZCTA5 52215,273,143,130
8600000US52216,52216,ZCTA5 52216,617,255,362
8600000US52217,52217,ZCTA5 52217,192,99,93
8600000US52218,52218,ZCTA5 52218,681,289,392
8600000US52219,52219,ZCTA5 52219,69,40,29
8600000US52220,52220,ZCTA5 52220,177,98,79
8600000US52221,52221,ZCTA5 52221,96,45,51
8600000US52222,52222,ZCTA5 52222,293,169,124
8600000US52223,52223,ZCTA5 52223,579,258,321
8600000US52224,52224,ZCTA5 52224,798,297,501
8600000US52225,52225,ZCTA5 52225,155,104,51
8600000US52227,52227,ZCTA5 52227,1092,326,766
8600000US52228,52228,ZCTA5 52228,1105,188,917
8600000US52229,52229,ZCTA5 52229,303,112,191
8600000US52231,52231,ZCTA5 52231,109,36,73
8600000US52232,52232,ZCTA5 52232,75,23,52
8600000US52233,52233,ZCTA5 52233,2994,1460,1534
8600000US52235,52235,ZCTA5 52235,311,158,153
8600000US52236,52236,ZCTA5 52236,219,62,157
8600000US52237,52237,ZCTA5 52237,573,226,347
8600000US52240,52240,ZCTA5 52240,14334,8133,6201
8600000US52241,52241,ZCTA5 52241,7817,3212,4605
8600000US52242,52242,ZCTA5 52242,0,0,0
8600000US52245,52245,ZCTA5 52245,9076,4030,5046
8600000US52246,52246,ZCTA5 52246,9730,5429,4301
8600000US52247,52247,ZCTA5 52247,2011,894,1117
8600000US52248,52248,ZCTA5 52248,710,346,364
8600000US52249,52249,ZCTA5 52249,482,200,282
8600000US52251,52251,ZCTA5 52251,263,120,143
8600000US52253,52253,ZCTA5 52253,1182,491,691
8600000US52254,52254,ZCTA5 52254,341,182,159
8600000US52255,52255,ZCTA5 52255,532,265,267
8600000US52257,52257,ZCTA5 52257,119,19,100
8600000US52301,52301,ZCTA5 52301,1491,819,672
8600000US52302,52302,ZCTA5 52302,15559,5893,9666
8600000US52305,52305,ZCTA5 52305,261,119,142
8600000US52306,52306,ZCTA5 52306,740,284,456
8600000US52307,52307,ZCTA5 52307,53,34,19
8600000US52308,52308,ZCTA5 52308,91,41,50
8600000US52309,52309,ZCTA5 52309,157,83,74
8600000US52310,52310,ZCTA5 52310,2731,1167,1564
8600000US52312,52312,ZCTA5 52312,51,44,7
8600000US52313,52313,ZCTA5 52313,174,55,119
8600000US52314,52314,ZCTA5 52314,1829,509,1320
8600000US52315,52315,ZCTA5 52315,453,185,268
8600000US52316,52316,ZCTA5 52316,638,279,359
8600000US52317,52317,ZCTA5 52317,6629,2149,4480
8600000US52318,52318,ZCTA5 52318,445,247,198
8600000US52320,52320,ZCTA5 52320,509,241,268
8600000US52321,52321,ZCTA5 52321,250,72,178
8600000US52322,52322,ZCTA5 52322,1197,464,733
8600000US52323,52323,ZCTA5 52323,438,211,227
8600000US52324,52324,ZCTA5 52324,767,191,576
8600000US52325,52325,ZCTA5 52325,403,102,301
8600000US52326,52326,ZCTA5 52326,237,152,85
8600000US52327,52327,ZCTA5 52327,1237,312,925
8600000US52328,52328,ZCTA5 52328,1022,192,830
8600000US52329,52329,ZCTA5 52329,351,126,225
8600000US52330,52330,ZCTA5 52330,331,150,181
8600000US52332,52332,ZCTA5 52332,805,336,469
8600000US52333,52333,ZCTA5 52333,2386,465,1921
8600000US52334,52334,ZCTA5 52334,73,4,69
8600000US52335,52335,ZCTA5 52335,303,183,120
8600000US52336,52336,ZCTA5 52336,907,318,589
8600000US52337,52337,ZCTA5 52337,342,160,182
8600000US52338,52338,ZCTA5 52338,1239,193,1046
8600000US52339,52339,ZCTA5 52339,1594,731,863
8600000US52340,52340,ZCTA5 52340,1057,488,569
8600000US52341,52341,ZCTA5 52341,372,63,309
8600000US52342,52342,ZCTA5 52342,1171,553,618
8600000US52345,52345,ZCTA5 52345,557,187,370
8600000US52346,52346,ZCTA5 52346,370,188,182
8600000US52347,52347,ZCTA5 52347,730,322,408
8600000US52348,52348,ZCTA5 52348,29,13,16
8600000US52349,52349,ZCTA5 52349,3001,1396,1605
8600000US52351,52351,ZCTA5 52351,511,72,439
8600000US52352,52352,ZCTA5 52352,627,209,418
8600000US52353,52353,ZCTA5 52353,3861,1989,1872
8600000US52354,52354,ZCTA5 52354,153,29,124
8600000US52355,52355,ZCTA5 52355,139,65,74
8600000US52356,52356,ZCTA5 52356,999,334,665
8600000US52358,52358,ZCTA5 52358,1537,560,977
8600000US52359,52359,ZCTA5 52359,128,67,61
8600000US52361,52361,ZCTA5 52361,1836,791,1045
8600000US52362,52362,ZCTA5 52362,370,192,178
8600000US52401,52401,ZCTA5 52401,1013,781,232
8600000US52402,52402,ZCTA5 52402,16592,6898,9694
8600000US52403,52403,ZCTA5 52403,9834,4128,5706
8600000US52404,52404,ZCTA5 52404,15950,8677,7273
8600000US52405,52405,ZCTA5 52405,10386,4528,5858
8600000US52411,52411,ZCTA5 52411,2516,357,2159
8600000US52501,52501,ZCTA5 52501,12182,7176,5006
8600000US52530,52530,ZCTA5 52530,429,224,205
8600000US52531,52531,ZCTA5 52531,2453,1271,1182
8600000US52533,52533,ZCTA5 52533,596,322,274
8600000US52534,52534,ZCTA5 52534,113,72,41
8600000US52535,52535,ZCTA5 52535,398,240,158
8600000US52536,52536,ZCTA5 52536,439,159,280
8600000US52537,52537,ZCTA5 52537,2552,1330,1222
8600000US52540,52540,ZCTA5 52540,587,275,312
8600000US52542,52542,ZCTA5 52542,217,118,99
8600000US52543,52543,ZCTA5 52543,102,23,79
8600000US52544,52544,ZCTA5 52544,3292,2030,1262
8600000US52548,52548,ZCTA5 52548,41,26,15
8600000US52549,52549,ZCTA5 52549,251,162,89
8600000US52550,52550,ZCTA5 52550,210,131,79
8600000US52551,52551,ZCTA5 52551,256,142,114
8600000US52552,52552,ZCTA5 52552,314,151,163
8600000US52553,52553,ZCTA5 52553,786,366,420
8600000US52554,52554,ZCTA5 52554,609,340,269
8600000US52555,52555,ZCTA5 52555,147,74,73
8600000US52556,52556,ZCTA5 52556,5294,3049,2245
8600000US52557,52557,ZCTA5 52557,0,0,0
8600000US52560,52560,ZCTA5 52560,200,103,97
8600000US52561,52561,ZCTA5 52561,340,182,158
8600000US52563,52563,ZCTA5 52563,665,379,286
8600000US52565,52565,ZCTA5 52565,748,451,297
8600000US52566,52566,ZCTA5 52566,82,45,37
8600000US52567,52567,ZCTA5 52567,329,131,198
8600000US52569,52569,ZCTA5 52569,276,183,93
8600000US52570,52570,ZCTA5 52570,294,183,111
8600000US52571,52571,ZCTA5 52571,655,343,312
8600000US52572,52572,ZCTA5 52572,471,270,201
8600000US52573,52573,ZCTA5 52573,50,13,37
8600000US52574,52574,ZCTA5 52574,350,222,128
8600000US52576,52576,ZCTA5 52576,225,125,100
8600000US52577,52577,ZCTA5 52577,6251,3437,2814
8600000US52580,52580,ZCTA5 52580,171,84,87
8600000US52581,52581,ZCTA5 52581,161,66,95
8600000US52583,52583,ZCTA5 52583,165,93,72
8600000US52584,52584,ZCTA5 52584,169,93,76
8600000US52585,52585,ZCTA5 52585,385,192,193
8600000US52586,52586,ZCTA5 52586,193,143,50
8600000US52588,52588,ZCTA5 52588,8,0,8
8600000US52590,52590,ZCTA5 52590,435,254,181
8600000US52591,52591,ZCTA5 52591,1334,721,613
8600000US52593,52593,ZCTA5 52593,43,23,20
8600000US52594,52594,ZCTA5 52594,152,77,75
8600000US52595,52595,ZCTA5 52595,174,100,74
8600000US52601,52601,ZCTA5 52601,12416,7177,5239
8600000US52619,52619,ZCTA5 52619,176,91,85
8600000US52620,52620,ZCTA5 52620,330,196,134
8600000US52621,52621,ZCTA5 52621,329,143,186
8600000US52623,52623,ZCTA5 52623,758,385,373
8600000US52624,52624,ZCTA5 52624,119,69,50
8600000US52625,52625,ZCTA5 52625,1014,505,509
8600000US52626,52626,ZCTA5 52626,570,331,239
8600000US52627,52627,ZCTA5 52627,5406,2890,2516
8600000US52630,52630,ZCTA5 52630,221,113,108
8600000US52632,52632,ZCTA5 52632,5244,3420,1824
8600000US52635,52635,ZCTA5 52635,336,192,144
8600000US52637,52637,ZCTA5 52637,952,445,507
8600000US52638,52638,ZCTA5 52638,194,77,117
8600000US52639,52639,ZCTA5 52639,798,373,425
8600000US52640,52640,ZCTA5 52640,576,283,293
8600000US52641,52641,ZCTA5 52641,4498,2237,2261
8600000US52644,52644,ZCTA5 52644,154,50,104
8600000US52645,52645,ZCTA5 52645,1269,607,662
8600000US52646,52646,ZCTA5 52646,117,61,56
8600000US52647,52647,ZCTA5 52647,85,42,43
8600000US52649,52649,ZCTA5 52649,344,214,130
8600000US52650,52650,ZCTA5 52650,341,178,163
8600000US52651,52651,ZCTA5 52651,273,110,163
8600000US52653,52653,ZCTA5 52653,1384,693,691
8600000US52654,52654,ZCTA5 52654,632,296,336
8600000US52655,52655,ZCTA5 52655,1965,1138,827
8600000US52656,52656,ZCTA5 52656,1066,387,679
8600000US52657,52657,ZCTA5 52657,24,8,16
8600000US52658,52658,ZCTA5 52658,387,167,220
8600000US52659,52659,ZCTA5 52659,573,289,284
8600000US52660,52660,ZCTA5 52660,75,42,33
8600000US52701,52701,ZCTA5 52701,33,14,19
8600000US52720,52720,ZCTA5 52720,362,93,269
8600000US52721,52721,ZCTA5 52721,294,133,161
8600000US52722,52722,ZCTA5 52722,14424,4729,9695
8600000US52726,52726,ZCTA5 52726,1815,431,1384
8600000US52727,52727,ZCTA5 52727,166,60,106
8600000US52728,52728,ZCTA5 52728,442,254,188
8600000US52729,52729,ZCTA5 52729,340,112,228
8600000US52730,52730,ZCTA5 52730,2162,1012,1150
8600000US52731,52731,ZCTA5 52731,318,143,175
8600000US52732,52732,ZCTA5 52732,11749,6501,5248
8600000US52737,52737,ZCTA5 52737,151,64,87
8600000US52738,52738,ZCTA5 52738,1359,639,720
8600000US52739,52739,ZCTA5 52739,246,175,71
8600000US52742,52742,ZCTA5 52742,3099,1160,1939
8600000US52745,52745,ZCTA5 52745,271,117,154
8600000US52746,52746,ZCTA5 52746,386,110,276
8600000US52747,52747,ZCTA5 52747,911,330,581
8600000US52748,52748,ZCTA5 52748,3560,1437,2123
8600000US52749,52749,ZCTA5 52749,380,103,277
8600000US52750,52750,ZCTA5 52750,202,62,140
8600000US52751,52751,ZCTA5 52751,390,156,234
8600000US52752,52752,ZCTA5 52752,188,103,85
8600000US52753,52753,ZCTA5 52753,2178,525,1653
8600000US52754,52754,ZCTA5 52754,549,229,320
8600000US52755,52755,ZCTA5 52755,817,366,451
8600000US52756,52756,ZCTA5 52756,704,174,530
8600000US52757,52757,ZCTA5 52757,57,36,21
8600000US52758,52758,ZCTA5 52758,85,36,49
8600000US52760,52760,ZCTA5 52760,173,82,91
8600000US52761,52761,ZCTA5 52761,11794,5695,6099
8600000US52765,52765,ZCTA5 52765,150,73,77
8600000US52766,52766,ZCTA5 52766,419,171,248
8600000US52767,52767,ZCTA5 52767,76,33,43
8600000US52768,52768,ZCTA5 52768,593,285,308
8600000US52769,52769,ZCTA5 52769,274,96,178
8600000US52772,52772,ZCTA5 52772,2070,825,1245
8600000US52773,52773,ZCTA5 52773,951,412,539
8600000US52774,52774,ZCTA5 52774,37,15,22
8600000US52776,52776,ZCTA5 52776,1444,596,848
8600000US52777,52777,ZCTA5 52777,513,241,272
8600000US52778,52778,ZCTA5 52778,1721,703,1018
8600000US52801,52801,ZCTA5 52801,536,398,138
8600000US52802,52802,ZCTA5 52802,3845,2573,1272
8600000US52803,52803,ZCTA5 52803,9182,5002,4180
8600000US52804,52804,ZCTA5 52804,10829,5218,5611
8600000US52806,52806,ZCTA5 52806,10972,5237,5735
8600000US52807,52807,ZCTA5 52807,6700,3415,3285
8600000US56027,56027,ZCTA5 56027,400,255,145
8600000US56121,56121,ZCTA5 56121,258,139,119
8600000US56168,56168,ZCTA5 56168,367,171,196
