Id,Id2,Geography,Estimate; Total:,Under 50K,Over 50K
8600000US50166,50166,ZCTA5 50166,606,204,402
8600000US50167,50167,ZCTA5 50167,238,105,133
8600000US50168,50168,ZCTA5 50168,302,118,184
8600000US50169,50169,ZCTA5 50169,1051,446,605
8600000US50170,50170,ZCTA5 50170,1141,469,672
8600000US50171,50171,ZCTA5 50171,1133,430,703
8600000US50173,50173,ZCTA5 50173,311,107,204
8600000US50174,50174,ZCTA5 50174,569,339,230
8600000US50201,50201,ZCTA5 50201,3424,1267,2157
8600000US50206,50206,ZCTA5 50206,142,68,74
8600000US50207,50207,ZCTA5 50207,954,368,586
8600000US50208,50208,ZCTA5 50208,7868,3931,3937
8600000US50210,50210,ZCTA5 50210,632,210,422
8600000US50211,50211,ZCTA5 50211,4543,1199,3344
8600000US50212,50212,ZCTA5 50212,1357,615,742
8600000US50213,50213,ZCTA5 50213,2755,1594,1161
8600000US50214,50214,ZCTA5 50214,267,34,233
8600000US50216,50216,ZCTA5 50216,1080,471,609
8600000US50217,50217,ZCTA5 50217,285,153,132
8600000US50218,50218,ZCTA5 50218,57,29,28
8600000US50219,50219,ZCTA5 50219,5053,1876,3177
8600000US50220,50220,ZCTA5 50220,3235,1724,1511
8600000US50222,50222,ZCTA5 50222,202,105,97
8600000US50223,50223,ZCTA5 50223,224,136,88
8600000US50225,50225,ZCTA5 50225,1214,470,744
8600000US50226,50226,ZCTA5 50226,1978,312,1666
8600000US50227,50227,ZCTA5 50227,7,1,6
8600000US50228,50228,ZCTA5 50228,947,353,594
8600000US50229,50229,ZCTA5 50229,315,84,231
8600000US50230,50230,ZCTA5 50230,437,164,273
8600000US50231,50231,ZCTA5 50231,78,45,33
8600000US50232,50232,ZCTA5 50232,199,69,130
8600000US50233,50233,ZCTA5 50233,573,245,328
8600000US50234,50234,ZCTA5 50234,284,93,191
8600000US50235,50235,ZCTA5 50235,162,74,88
8600000US50236,50236,ZCTA5 50236,625,195,430
8600000US50237,50237,ZCTA5 50237,1156,294,862
8600000US50238,50238,ZCTA5 50238,462,234,228
8600000US50239,50239,ZCTA5 50239,48,23,25
8600000US50240,50240,ZCTA5 50240,1035,319,716
8600000US50242,50242,ZCTA5 50242,138,83,55
8600000US50243,50243,ZCTA5 50243,91,43,48
8600000US50244,50244,ZCTA5 50244,682,212,470
8600000US50246,50246,ZCTA5 50246,308,137,171
8600000US50247,50247,ZCTA5 50247,814,322,492
8600000US50248,50248,ZCTA5 50248,1797,784,1013
8600000US50249,50249,ZCTA5 50249,470,219,251
8600000US50250,50250,ZCTA5 50250,990,567,423
8600000US50251,50251,ZCTA5 50251,507,198,309
8600000US50252,50252,ZCTA5 50252,91,41,50
8600000US50254,50254,ZCTA5 50254,115,28,87
8600000US50255,50255,ZCTA5 50255,40,20,20
8600000US50256,50256,ZCTA5 50256,242,58,184
8600000US50257,50257,ZCTA5 50257,404,172,232
8600000US50258,50258,ZCTA5 50258,398,162,236
8600000US50261,50261,ZCTA5 50261,830,184,646
8600000US50262,50262,ZCTA5 50262,170,86,84
8600000US50263,50263,ZCTA5 50263,7000,1838,5162
8600000US50264,50264,ZCTA5 50264,179,84,95
8600000US50265,50265,ZCTA5 50265,13954,4821,9133
8600000US50266,50266,ZCTA5 50266,11252,3594,7658
8600000US50268,50268,ZCTA5 50268,412,277,135
8600000US50271,50271,ZCTA5 50271,265,121,144
8600000US50272,50272,ZCTA5 50272,44,29,15
8600000US50273,50273,ZCTA5 50273,3351,1485,1866
8600000US50274,50274,ZCTA5 50274,173,94,79
8600000US50275,50275,ZCTA5 50275,262,174,88
8600000US50276,50276,ZCTA5 50276,948,345,603
8600000US50277,50277,ZCTA5 50277,227,129,98
8600000US50278,50278,ZCTA5 50278,357,140,217
8600000US50309,50309,ZCTA5 50309,3330,2162,1168
8600000US50310,50310,ZCTA5 50310,12950,5434,7516
8600000US50311,50311,ZCTA5 50311,5705,3209,2496
8600000US50312,50312,ZCTA5 50312,7293,3276,4017
8600000US50313,50313,ZCTA5 50313,6543,3498,3045
8600000US50314,50314,ZCTA5 50314,4029,2923,1106
8600000US50315,50315,ZCTA5 50315,14040,7895,6145
8600000US50316,50316,ZCTA5 50316,5673,3402,2271
8600000US50317,50317,ZCTA5 50317,14251,7827,6424
8600000US50319,50319,ZCTA5 50319,0,0,0
8600000US50320,50320,ZCTA5 50320,7425,3407,4018
8600000US50321,50321,ZCTA5 50321,3370,1581,1789
8600000US50322,50322,ZCTA5 50322,13524,5030,8494
8600000US50323,50323,ZCTA5 50323,4108,532,3576
8600000US50324,50324,ZCTA5 50324,2086,982,1104
8600000US50325,50325,ZCTA5 50325,6109,1571,4538
8600000US50327,50327,ZCTA5 50327,4115,1121,2994
8600000US50401,50401,ZCTA5 50401,13377,7654,5723
8600000US50420,50420,ZCTA5 50420,179,95,84
8600000US50421,50421,ZCTA5 50421,1361,762,599
8600000US50423,50423,ZCTA5 50423,1223,610,613
8600000US50424,50424,ZCTA5 50424,628,279,349
8600000US50426,50426,ZCTA5 50426,16,9,7
8600000US50428,50428,ZCTA5 50428,3938,1880,2058
8600000US50430,50430,ZCTA5 50430,218,117,101
8600000US50431,50431,ZCTA5 50431,123,60,63
8600000US50432,50432,ZCTA5 50432,109,83,26
8600000US50433,50433,ZCTA5 50433,88,29,59
8600000US50434,50434,ZCTA5 50434,193,123,70
8600000US50435,50435,ZCTA5 50435,253,119,134
8600000US50436,50436,ZCTA5 50436,2549,1286,1263
8600000US50438,50438,ZCTA5 50438,1590,606,984
8600000US50439,50439,ZCTA5 50439,134,81,53
8600000US50440,50440,ZCTA5 50440,249,134,115
8600000US50441,50441,ZCTA5 50441,2262,1172,1090
8600000US50444,50444,ZCTA5 50444,136,43,93
8600000US50446,50446,ZCTA5 50446,254,118,136
8600000US50447,50447,ZCTA5 50447,516,260,256
8600000US50448,50448,ZCTA5 50448,316,155,161
8600000US50449,50449,ZCTA5 50449,241,122,119
8600000US50450,50450,ZCTA5 50450,1209,685,524
8600000US50451,50451,ZCTA5 50451,232,116,116
8600000US50452,50452,ZCTA5 50452,312,149,163
8600000US50453,50453,ZCTA5 50453,245,120,125
8600000US50454,50454,ZCTA5 50454,53,38,15
8600000US50455,50455,ZCTA5 50455,161,95,66
8600000US50456,50456,ZCTA5 50456,729,363,366
8600000US50457,50457,ZCTA5 50457,152,52,100
8600000US50458,50458,ZCTA5 50458,871,456,415
8600000US50459,50459,ZCTA5 50459,1247,682,565
8600000US50460,50460,ZCTA5 50460,102,48,54
8600000US50461,50461,ZCTA5 50461,2383,1212,1171
8600000US50464,50464,ZCTA5 50464,264,140,124
8600000US50465,50465,ZCTA5 50465,117,77,40
8600000US50466,50466,ZCTA5 50466,686,360,326
8600000US50467,50467,ZCTA5 50467,33,14,19
8600000US50468,50468,ZCTA5 50468,645,277,368
8600000US50469,50469,ZCTA5 50469,684,280,404
8600000US50470,50470,ZCTA5 50470,108,75,33
8600000US50471,50471,ZCTA5 50471,361,219,142
8600000US50472,50472,ZCTA5 50472,907,447,460
8600000US50473,50473,ZCTA5 50473,104,38,66
8600000US50475,50475,ZCTA5 50475,667,358,309
8600000US50476,50476,ZCTA5 50476,371,153,218
8600000US50477,50477,ZCTA5 50477,163,94,69
8600000US50478,50478,ZCTA5 50478,378,210,168
8600000US50479,50479,ZCTA5 50479,287,203,84
8600000US50480,50480,ZCTA5 50480,424,242,182
8600000US50482,50482,ZCTA5 50482,419,138,281
8600000US50483,50483,ZCTA5 50483,298,152,146
8600000US50484,50484,ZCTA5 50484,186,92,94
8600000US50501,50501,ZCTA5 50501,11263,6661,4602
8600000US50510,50510,ZCTA5 50510,435,208,227
8600000US50511,50511,ZCTA5 50511,3220,1433,1787
8600000US50514,50514,ZCTA5 50514,652,340,312
8600000US50515,50515,ZCTA5 50515,113,68,45
8600000US50516,50516,ZCTA5 50516,272,93,179
8600000US50517,50517,ZCTA5 50517,415,224,191
8600000US50518,50518,ZCTA5 50518,156,60,96
8600000US50519,50519,ZCTA5 50519,253,124,129
8600000US50520,50520,ZCTA5 50520,61,35,26
8600000US50521,50521,ZCTA5 50521,61,35,26
8600000US50522,50522,ZCTA5 50522,288,149,139
8600000US50523,50523,ZCTA5 50523,323,145,178
8600000US50524,50524,ZCTA5 50524,259,81,178
8600000US50525,50525,ZCTA5 50525,1420,775,645
8600000US50527,50527,ZCTA5 50527,110,55,55
8600000US50528,50528,ZCTA5 50528,169,71,98
8600000US50529,50529,ZCTA5 50529,343,190,153
8600000US50530,50530,ZCTA5 50530,496,267,229
8600000US50531,50531,ZCTA5 50531,110,26,84
8600000US50532,50532,ZCTA5 50532,437,249,188
8600000US50533,50533,ZCTA5 50533,1622,920,702
8600000US50535,50535,ZCTA5 50535,433,254,179
8600000US50536,50536,ZCTA5 50536,1913,1007,906
8600000US50538,50538,ZCTA5 50538,235,114,121
8600000US50539,50539,ZCTA5 50539,239,100,139
