Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,04-14 Percentage,Total Enplanements,CY 14 Enplanements,CY 13 Enplanements,CY 12 Enplanements,CY 11 Enplanements,CY 10 Enplanements,CY 09 Boardings,CY 08 Boardings,CY2007 Enplanements,CY 2006 Enplanements,CY 05 Enplanements,CY 04 Enplanements
1233,SW,OK,GCM,Claremore,Claremore Regional,GA,None,0%,8,8,,,,,,,,,,
1220,NM,OR,3S4,Cave Junction,Illinois Valley,GA,None,0%,5,0,,,,,,,,,5,0
1228,SO,SC,CKI,Kingstree,Williamsburg Regional,GA,None,0%,93,5,,,,,2,5,,,2,79
1237,GL,SD,ICR,Winner,Winner Regional,GA,None,0%,179,57,16,70,,,7,10,17,2,,
1240,SO,TN,MMI,Athens,McMinn County,GA,None,0%,72,0,7,0,,,,,46,3,8,8
1225,SW,TX,ATA,Atlanta,Hall-Miller Municipal,GA,None,0%,18,0,,,6,12,,,,,,
1241,EA,VA,MTV,Spencer,Blue Ridge,GA,None,0%,228,8,85,6,,,,,3,122,2,2
1245,EA,VA,OKV,Winchester,Winchester Regional,GA,None,0%,382,22,104,25,27,6,3,30,17,103,26,19
1221,NM,WA,68S,Davenport,Davenport,GA,None,0%,72,5,,,6,14,16,28,3,0,,
1250,NM,WA,S18,Forks,Forks,GA,None,0%,81,9,9,18,2,0,5,7,25,0,5,1
1229,GL,WI,CLI,Clintonville,Clintonville Municipal,GA,None,0%,24,0,,,,,1,8,15,0,,
1224,NM,WY,AFO,Afton,Afton Municipal,GA,None,0%,46,0,,,3,9,7,1,2,15,2,7
1260,AL,AK,AQY,Girdwood,Girdwood,GA,None,0%,"15,952",0,,,,,,,7850,8100,2,0
1262,WP,CA,BIH,Bishop,Bishop,GA,None,0%,62,1,20,0,,,30,11,,,,
1274,WP,CA,HWD,Hayward,Hayward Executive,GA,None,0%,557,18,94,49,2,6,70,288,12,18,,
1279,WP,CA,MHR,Sacramento,Sacramento Mather,GA,None,0%,"3,603",152,2308,276,5,12,41,271,41,86,134,277
1284,WP,CA,PTV,Porterville,Porterville Municipal,GA,None,0%,1,0,1,0,,,,,,,,
1272,SO,FL,FHB,Fernandina Beach,Fernandina Beach Municipal,GA,None,0%,392,11,236,10,1,29,18,87,,,,
1289,SO,FL,SEF,Sebring,Sebring Regional,GA,None,0%,73,2,16,2,4,1,1,10,17,5,11,4
1256,SO,GA,3J7,Greensboro,Greene County Regional,GA,None,0%,110,8,7,21,,,6,18,32,0,4,14
1266,SO,GA,CCO,Newnan,Newnan Coweta County,GA,None,0%,10,0,10,0,,,,,,,,
1265,CE,IA,CBF,Council Bluffs,Council Bluffs Municipal,GA,None,0%,"1,864",310,3,982,,,152,118,92,0,167,40
1281,CE,IA,MUT,Muscatine,Muscatine Municipal,GA,None,0%,98,18,1,5,3,6,3,24,27,6,5,0
1286,GL,IN,RID,Richmond,Richmond Municipal,GA,None,0%,348,0,12,66,143,114,,,9,4,,
1275,SO,KY,I93,Hardinsburg,Breckinridge County,GA,None,0%,0,0,,,,,,,,,,
1273,NE,MA,GBR,Great Barrington,Walter J Koladza,GA,None,0%,19,0,,,,,6,0,7,1,4,1
1253,GL,MI,35D,Allegan,Padgham Field,GA,None,0%,106,27,32,0,29,16,2,0,,,,
1259,GL,MI,50G,Chesaning,Howard Nixon Memorial,GA,None,0%,0,0,,,,,,,,,,
1261,GL,MI,BEH,Benton Harbor,Southwest Michigan Regional,GA,None,0%,397,41,45,9,6,29,10,2,109,58,33,55
1264,GL,MI,C04,Hart,Oceana County,GA,None,0%,1,1,,,,,,,,,,
1276,GL,MI,ISQ,Manistique,Schoolcraft County,GA,None,0%,54,29,2,0,,,8,7,3,5,,
1254,NM,MT,38S,Deer Lodge,Deer Lodge-City-County,GA,None,0%,44,0,34,0,,,10,0,,,,
1257,NM,MT,3U3,Anaconda,Bowman Field,GA,None,0%,134,2,43,0,,,65,11,,,10,3
1288,SO,NC,RUQ,Salisbury,Rowan County,GA,None,0%,177,2,,,,,135,10,,,16,14
1283,CE,NE,OLU,Columbus,Columbus Municipal,GA,None,0%,76,36,4,0,,,,,15,0,13,8
1291,SW,NM,SRR,Ruidoso,Sierra Blanca Regional,GA,None,0%,732,11,91,3,,,10,278,153,130,52,4
1267,EA,NY,CZG,Endicott,Tri-Cities,GA,None,0%,0,0,,,,,,,,,,
1282,EA,NY,OLE,Olean,Cattaraugus County-Olean,GA,None,0%,108,0,3,6,,,5,9,8,17,4,56
1268,GL,OH,DFI,Defiance,Defiance Memorial,GA,None,0%,0,0,,,,,,,,,,
1271,GL,OH,FDY,Findlay,Findlay,GA,None,0%,966,4,48,0,5,7,4,176,4,143,155,420
1263,EA,PA,BTP,Butler,Butler County/K W Scholter Field,GA,None,0%,261,3,29,0,5,6,121,6,54,19,6,12
1258,GL,SD,49B,Sturgis,Sturgis Municipal,GA,None,0%,222,0,,,,,,,24,198,,
1290,GL,SD,SPF,Spearfish,Black Hills-Clyde Ice Field,GA,None,0%,741,48,33,45,13,6,2,85,4,0,273,232
1252,SW,TX,15F,Haskell,Haskell Municipal,GA,None,0%,0,0,,,,,,,,,,
1287,EA,VA,RMN,Stafford,Stafford Regional,GA,None,0%,355,2,67,18,31,15,12,52,111,11,29,7
1255,NM,WA,38WA,Blakely Island,Blakely Island,GA,None,0%,33,12,5,0,1,0,1,0,,,10,4
1269,NM,WA,ELN,Ellensburg,Bowers Field,GA,None,0%,262,24,7,17,11,18,22,13,6,22,57,65
1277,NM,WA,KLS,Kelso,Southwest Washington Regional,GA,None,0%,18,0,3,0,3,0,,,,,10,2
1285,NM,WA,PWT,Bremerton,Bremerton National,GA,None,0%,"1,324",8,43,101,330,192,371,241,7,16,10,5
1280,GL,WI,MTW,Manitowoc,Manitowoc County,GA,None,0%,494,40,79,41,2,87,10,31,54,21,45,84
1270,NM,WY,EMM,Kemmerer,Kemmerer Municipal,GA,None,0%,97,4,,,5,3,24,0,13,17,11,20
1278,NM,WY,LND,Lander,Hunt Field,GA,None,0%,109,0,2,5,9,18,24,0,15,0,5,31
1317,AL,AK,KMY,Moser Bay,Moser Bay,GA,None,0%,211,16,36,14,19,16,22,9,19,10,30,20
1341,AL,AK,Z17,Ophir,Ophir,GA,None,0%,71,8,11,22,17,0,3,10,,,,
1325,WP,AZ,PAN,Payson,Payson,GA,None,0%,244,2,,,10,14,15,0,44,51,2,106
1306,WP,CA,DWA,Davis,Yolo County,GA,None,0%,54,0,33,2,,,,,12,7,,
1320,WP,CA,MER,Atwater,Castle,GA,None,0%,"4,970",153,6,4790,,,8,2,3,3,5,0
1311,EA,DE,EVY,Middletown,Summit,GA,None,0%,251,6,5,0,239,0,,,,,1,0
1299,SO,FL,AVO,Avon Park,Avon Park Executive,GA,None,0%,69,0,50,4,,,,,8,0,7,0
