Facility,Calendar Year,Itinerant Air Carrier,Itinerant Air Taxi,Itinerant General Aviation,Itinerant Military,Itinerant Total,Local Civil,Local Military,Local Total,Total Operations
ABE,2004,"20,870","19,058","56,624","2,275","98,827","32,851","1,420","34,271","133,098"
ABE,2005,"19,965","18,056","50,654","1,738","90,413","34,789","1,030","35,819","126,232"
ABE,2006,"17,613","18,367","45,735","1,447","83,162","37,727",884,"38,611","121,773"
ABE,2007,"16,668","13,732","44,171",933,"75,504","44,589",472,"45,061","120,565"
ABE,2008,"11,773","15,102","39,911",873,"67,659","49,663",936,"50,599","118,258"
ABE,2009,"4,523","18,020","30,513",644,"53,700","48,300",576,"48,876","102,576"
ABE,2010,"5,051","16,998","31,238",631,"53,918","41,565",275,"41,840","95,758"
ABE,2011,"4,428","19,451","30,541",564,"54,984","39,818",180,"39,998","94,982"
ABE,2012,"4,249","17,241","30,914",608,"53,012","45,902",146,"46,048","99,060"
ABE,2013,"3,636","13,985","30,825",414,"48,860","59,103",145,"59,248","108,108"
ABE,2014,"4,057","12,122","32,354",475,"49,008","52,087",142,"52,229","101,237"
ABE,2015,"4,431","11,356","26,926",441,"43,154","44,738",192,"44,930","88,084"
Sub-Total for ABE,,"117,264","193,488","450,406","11,043","772,201","531,132","6,398","537,530","1,309,731"
ABI,2004,260,"11,854","18,634","8,727","39,475","15,773","18,359","34,132","73,607"
ABI,2005,152,"13,226","20,181","8,417","41,976","17,121","16,970","34,091","76,067"
ABI,2006,353,"14,293","22,480","8,662","45,788","16,408","16,448","32,856","78,644"
ABI,2007,354,"14,130","22,682","8,762","45,928","19,253","15,302","34,555","80,483"
ABI,2008,305,"12,872","26,842","14,015","54,034","13,772","17,309","31,081","85,115"
ABI,2009,363,"11,020","20,167","11,256","42,806","9,047","11,622","20,669","63,475"
ABI,2010,397,"10,187","21,055","7,853","39,492","10,398","10,048","20,446","59,938"
ABI,2011,330,"10,456","22,339","8,645","41,770","7,959","10,191","18,150","59,920"
ABI,2012,225,"10,075","22,933","5,913","39,146","10,571","10,738","21,309","60,455"
ABI,2013,217,"10,903","21,426","7,718","40,264","12,649","12,496","25,145","65,409"
ABI,2014,226,"10,317","18,205","8,443","37,191","7,631","10,778","18,409","55,600"
ABI,2015,289,"9,275","17,182","7,344","34,090","10,378","10,170","20,548","54,638"
Sub-Total for ABI,,"3,471","138,608","254,126","105,755","501,960","150,960","160,431","311,391","813,351"
ABQ,2004,"74,366","49,860","41,353","21,053","186,632","3,343","7,682","11,025","197,657"
ABQ,2005,"74,909","47,899","38,953","23,683","185,444","4,698","6,557","11,255","196,699"
ABQ,2006,"73,813","43,364","39,677","23,509","180,363","4,620","7,258","11,878","192,241"
ABQ,2007,"77,184","45,209","40,976","18,956","182,325","3,740","4,715","8,455","190,780"
ABQ,2008,"75,770","42,119","37,468","18,105","173,462","3,261","3,830","7,091","180,553"
ABQ,2009,"68,290","33,621","29,864","17,891","149,666","3,665","5,198","8,863","158,529"
ABQ,2010,"66,095","33,780","27,927","16,878","144,680","4,398","7,538","11,936","156,616"
ABQ,2011,"65,500","34,299","26,144","15,534","141,477","5,420","7,243","12,663","154,140"
ABQ,2012,"60,670","31,568","26,679","17,147","136,064","4,444","7,216","11,660","147,724"
ABQ,2013,"55,559","29,478","26,422","15,509","126,968","4,650","5,297","9,947","136,915"
ABQ,2014,"51,730","27,948","28,548","16,683","124,909","2,930","2,230","5,160","130,069"
ABQ,2015,"49,603","25,089","27,243","17,218","119,153","3,281","1,750","5,031","124,184"
Sub-Total for ABQ,,"793,489","444,234","391,254","222,166","1,851,143","48,450","66,514","114,964","1,966,107"
ABY,2004,124,"5,455","18,970","3,676","28,225","18,687","10,045","28,732","56,957"
ABY,2005,252,"6,072","18,681","3,826","28,831","17,289","6,904","24,193","53,024"
ABY,2006,205,"6,510","15,487","4,257","26,459","7,165","9,124","16,289","42,748"
ABY,2007,116,"6,548","14,706","2,035","23,405","7,262","5,269","12,531","35,936"
ABY,2008,134,"5,355","12,697","1,674","19,860","6,391","4,162","10,553","30,413"
ABY,2009,154,"3,774","11,276","2,004","17,208","6,627","5,280","11,907","29,115"
ABY,2010,117,"3,497","11,511","2,356","17,481","6,562","6,239","12,801","30,282"
ABY,2011,59,"2,602","10,793","2,127","15,581","4,625","5,056","9,681","25,262"
ABY,2012,11,"2,656","10,052","1,554","14,273","6,591","2,812","9,403","23,676"
ABY,2013,20,"2,931","9,706","1,039","13,696","6,681","1,924","8,605","22,301"
ABY,2014,127,"3,017","10,287",951,"14,382","5,432","1,260","6,692","21,074"
ABY,2015,43,"2,927","9,829",908,"13,707","5,048","1,064","6,112","19,819"
Sub-Total for ABY,,"1,362","51,344","153,995","26,407","233,108","98,360","59,139","157,499","390,607"
ACK,2004,10,"103,645","39,236",435,"143,326",837,213,"1,050","144,376"
ACK,2005,8,"107,588","38,162",362,"146,120","1,210",191,"1,401","147,521"
ACK,2006,0,"122,282","38,095",476,"160,853",586,179,765,"161,618"
ACK,2007,"1,351","117,304","31,233",223,"150,111",345,89,434,"150,545"
ACK,2008,718,"116,227","33,308",457,"150,710",385,204,589,"151,299"
ACK,2009,299,"98,327","28,704",538,"127,868",276,44,320,"128,188"
ACK,2010,391,"97,685","28,659",533,"127,268",213,142,355,"127,623"
ACK,2011,852,"89,047","29,742",573,"120,214",156,52,208,"120,422"
ACK,2012,752,"95,125","35,372",985,"132,234",339,148,487,"132,721"
ACK,2013,793,"87,316","31,746",866,"120,721",170,56,226,"120,947"
ACK,2014,824,"80,025","32,580",635,"114,064",150,44,194,"114,258"
ACK,2015,"1,098","72,535","34,474",619,"108,726",194,149,343,"109,069"
Sub-Total for ACK,,"7,096","1,187,106","401,311","6,702","1,602,215","4,861","1,511","6,372","1,608,587"
ACT,2004,243,"9,668","24,024","3,135","37,070","6,141","1,845","7,986","45,056"
ACT,2005,276,"9,710","20,677","2,903","33,566","4,344","1,401","5,745","39,311"
ACT,2006,215,"9,745","20,108","2,040","32,108","3,504",792,"4,296","36,404"
ACT,2007,175,"9,614","19,108","2,202","31,099","3,891",884,"4,775","35,874"
ACT,2008,123,"7,983","17,794","2,031","27,931","3,286",458,"3,744","31,675"
ACT,2009,"1,091","5,700","15,936","1,677","24,404","4,940",471,"5,411","29,815"
ACT,2010,"2,671","3,807","14,324","1,452","22,254","4,055",400,"4,455","26,709"
ACT,2011,"1,943","4,403","16,687","2,118","25,151","5,181",996,"6,177","31,328"
ACT,2012,360,"5,739","19,763","3,303","29,165","5,229",688,"5,917","35,082"
ACT,2013,150,"5,230","19,635","4,379","29,394","4,573","1,030","5,603","34,997"
ACT,2014,131,"5,014","17,865","5,913","28,923","4,080",767,"4,847","33,770"
ACT,2015,117,"5,151","16,822","5,298","27,388","4,979","1,372","6,351","33,739"
Sub-Total for ACT,,"7,495","81,764","222,743","36,451","348,453","54,203","11,104","65,307","413,760"
ACY,2004,"14,247","9,355","29,521","17,343","70,466","21,871","27,518","49,389","119,855"
ACY,2005,"13,208","8,092","29,841","18,566","69,707","24,114","30,091","54,205","123,912"
ACY,2006,"13,966","9,139","30,610","21,400","75,115","25,289","31,545","56,834","131,949"
ACY,2007,"14,186","8,954","25,218","16,342","64,700","18,574","26,286","44,860","109,560"
ACY,2008,"11,235","4,557","24,883","16,071","56,746","12,818","23,635","36,453","93,199"
ACY,2009,"10,419","4,779","22,650","19,821","57,669","11,887","30,466","42,353","100,022"
ACY,2010,"12,957","5,609","22,672","22,873","64,111","8,387","32,685","41,072","105,183"
ACY,2011,"11,636","5,663","20,818","20,459","58,576","7,647","23,855","31,502","90,078"
ACY,2012,"10,017","5,864","20,239","18,685","54,805","4,743","15,470","20,213","75,018"
ACY,2013,"8,602","5,903","20,416","18,712","53,633","5,864","16,649","22,513","76,146"
ACY,2014,"9,025","6,311","18,573","17,351","51,260","6,797","22,966","29,763","81,023"
ACY,2015,"9,192","5,326","17,020","19,066","50,604","4,908","21,193","26,101","76,705"
Sub-Total for ACY,,"138,690","79,552","282,461","226,689","727,392","152,899","302,359","455,258","1,182,650"
ADM,2004,0,50,"6,873","1,474","8,397","17,359","6,418","23,777","32,174"
ADM,2005,3,5,"7,043","1,269","8,320","17,618","5,152","22,770","31,090"
ADM,2006,0,17,"12,540","1,411","13,968","15,124","3,870","18,994","32,962"
ADM,2007,1,8,"10,516","1,190","11,715","15,012","3,446","18,458","30,173"
ADM,2008,1,0,"10,612",382,"10,995","9,410",338,"9,748","20,743"
ADM,2009,0,18,"11,759",432,"12,209","8,880",651,"9,531","21,740"
ADM,2010,28,9,"10,330","1,078","11,445","7,631","2,070","9,701","21,146"
ADM,2011,0,1,"11,088",670,"11,759","9,412","1,133","10,545","22,304"
ADM,2012,0,95,"12,975","1,788","14,858","7,519","3,529","11,048","25,906"
ADM,2013,8,32,"12,379","1,617","14,036","4,978","2,866","7,844","21,880"
ADM,2014,4,4,"12,276","1,874","14,158","4,974","2,237","7,211","21,369"
ADM,2015,2,1,"15,305","2,867","18,175","7,111","2,112","9,223","27,398"
Sub-Total for ADM,,47,240,"133,696","16,052","150,035","125,028","33,822","158,850","308,885"
ADQ,2004,"1,940","13,031","1,567","3,076","19,614","1,024","12,317","13,341","32,955"
ADQ,2005,"1,460","15,429","1,382","2,528","20,799","1,471","11,588","13,059","33,858"
ADQ,2006,"1,305","20,880","1,207","2,100","25,492","1,109","11,788","12,897","38,389"
ADQ,2007,"1,433","18,727","1,144","2,117","23,421","1,087","10,745","11,832","35,253"
ADQ,2008,"1,639","17,570","1,069","2,387","22,665",519,"10,164","10,683","33,348"
ADQ,2009,"1,396","18,375","1,244","3,038","24,053",800,"9,473","10,273","34,326"
ADQ,2010,"1,430","19,099","2,053","3,273","25,855","1,436","7,999","9,435","35,290"
ADQ,2011,"1,536","20,256","2,230","3,556","27,578","1,078","7,911","8,989","36,567"
ADQ,2012,"1,361","18,834","1,951","3,719","25,865",661,"7,280","7,941","33,806"
ADQ,2013,"1,415","17,683","2,038","3,964","25,100",814,"7,989","8,803","33,903"
ADQ,2014,"1,230","18,710","1,615","4,236","25,791",542,"6,929","7,471","33,262"
ADQ,2015,"1,520","18,802","1,812","4,126","26,260",884,"6,065","6,949","33,209"
Sub-Total for ADQ,,"17,665","217,396","19,312","38,120","292,493","11,425","110,248","121,673","414,166"
ADS,2004,250,"12,981","103,550",63,"116,844","16,908",4,"16,912","133,756"
ADS,2005,153,"16,639","106,346",113,"123,251","11,591",10,"11,601","134,852"
ADS,2006,175,"17,261","104,463",37,"121,936","11,616",7,"11,623","133,559"
ADS,2007,156,"16,745","100,734",58,"117,693","18,368",67,"18,435","136,128"
ADS,2008,153,"13,361","102,546",204,"116,264","23,383",297,"23,680","139,944"
ADS,2009,180,"11,357","78,615",389,"90,541","14,230",62,"14,292","104,833"
ADS,2010,172,"11,948","78,028",426,"90,574","8,183",11,"8,194","98,768"
ADS,2011,114,"10,751","73,294",443,"84,602","6,518",6,"6,524","91,126"
ADS,2012,89,"10,927","79,381",376,"90,773","6,501",4,"6,505","97,278"
ADS,2013,107,"9,633","78,372",515,"88,627","5,358",18,"5,376","94,003"
ADS,2014,219,"8,737","80,672",352,"89,980","5,177",8,"5,185","95,165"
ADS,2015,178,"6,989","85,583",257,"93,007","3,461",4,"3,465","96,472"
Sub-Total for ADS,,"1,946","147,329","1,071,584","3,233","1,224,092","131,294",498,"131,792","1,355,884"
ADW,2004,205,33,"3,335","44,620","48,193",830,"32,062","32,892","81,085"
ADW,2005,113,14,"6,201","40,890","47,218","1,455","41,855","43,310","90,528"
ADW,2006,129,12,"3,836","43,333","47,310","1,193","42,184","43,377","90,687"
ADW,2007,192,79,"4,750","39,447","44,468","7,619","49,534","57,153","101,621"
ADW,2008,528,969,"3,717","33,336","38,550","17,335","42,513","59,848","98,398"
ADW,2009,694,875,"2,912","33,782","38,263","18,659","39,763","58,422","96,685"
ADW,2010,667,621,"4,196","32,963","38,447","21,079","39,157","60,236","98,683"
ADW,2011,553,704,"4,609","28,209","34,075","15,587","40,069","55,656","89,731"
ADW,2012,631,510,"2,836","32,315","36,292","12,412","36,346","48,758","85,050"
ADW,2013,516,440,"3,587","27,675","32,218","13,550","29,961","43,511","75,729"
ADW,2014,793,"1,325","3,105","27,250","32,473","6,613","25,416","32,029","64,502"
ADW,2015,"1,004","1,213","2,506","26,500","31,223","3,607","29,845","33,452","64,675"
Sub-Total for ADW,,"6,025","6,795","45,590","410,320","468,730","119,939","448,705","568,644","1,037,374"
AEG,2009,0,"2,305","31,461","1,024","34,790","45,025",644,"45,669","80,459"
AEG,2010,0,"2,274","27,185","1,241","30,700","37,339","1,031","38,370","69,070"
AEG,2011,1,"2,252","27,077","1,467","30,797","38,218",935,"39,153","69,950"
AEG,2012,1,"1,919","26,136","1,911","29,967","34,294","2,166","36,460","66,427"
AEG,2013,0,"1,072","25,140","1,233","27,445","36,814","2,099","38,913","66,358"
AEG,2014,0,533,"24,698","1,159","26,390","37,565","1,722","39,287","65,677"
AEG,2015,0,778,"23,602",968,"25,348","40,362","1,759","42,121","67,469"
Sub-Total for AEG,,2,"11,133","185,299","9,003","205,437","269,617","10,356","279,973","485,410"
AEX,2004,"2,013","8,985","5,534","3,419","19,951","22,531","8,551","31,082","51,033"
AEX,2005,"1,764","8,222","5,412","4,003","19,401","26,218","15,385","41,603","61,004"
AEX,2006,"1,661","8,754","5,076","3,869","19,360","27,256","6,998","34,254","53,614"
AEX,2007,"1,709","10,811","5,136","4,332","21,988","22,557","5,580","28,137","50,125"
AEX,2008,"2,012","9,474","4,258","4,720","20,464","12,916","5,499","18,415","38,879"
AEX,2009,"2,299","9,877","3,825","4,738","20,739","11,427","6,585","18,012","38,751"
AEX,2010,"2,335","9,334","3,970","4,879","20,518","11,849","6,365","18,214","38,732"
AEX,2011,"1,917","8,055","5,151","6,066","21,189","17,306","7,952","25,258","46,447"
AEX,2012,"2,163","8,733","3,637","5,521","20,054","9,694","7,206","16,900","36,954"
AEX,2013,"1,669","8,290","3,610","4,121","17,690","8,788","6,453","15,241","32,931"
AEX,2014,"2,110","6,682","4,326","4,447","17,565","7,862","6,077","13,939","31,504"
AEX,2015,"1,437","6,436","3,692","3,816","15,381","6,506","7,693","14,199","29,580"
Sub-Total for AEX,,"23,089","103,653","53,627","53,931","234,300","184,910","90,344","275,254","509,554"
AFW,2004,"6,152","4,149","24,511","8,572","43,384","39,004","10,578","49,582","92,966"
AFW,2005,"7,704","5,253","31,276","8,893","53,126","26,372","9,820","36,192","89,318"
AFW,2006,"8,404","5,696","31,211","8,069","53,380","26,190","7,245","33,435","86,815"
AFW,2007,"7,716","5,082","30,614","6,891","50,303","31,287","5,222","36,509","86,812"
AFW,2008,"6,008","4,870","31,755","7,615","50,248","39,914","6,790","46,704","96,952"
AFW,2009,"4,177","4,289","31,918","7,243","47,627","39,114","6,367","45,481","93,108"
AFW,2010,"6,350","4,247","32,307","9,212","52,116","34,168","8,008","42,176","94,292"
AFW,2011,"7,686","4,077","38,758","9,730","60,251","50,232","8,996","59,228","119,479"
AFW,2012,"6,493","3,745","35,612","9,980","55,830","37,010","7,916","44,926","100,756"
AFW,2013,"5,446","3,922","38,522","10,244","58,134","39,134","6,364","45,498","103,632"
AFW,2014,"5,798","3,986","43,013","10,335","63,132","45,846","6,536","52,382","115,514"
AFW,2015,"6,542","5,421","41,237","9,251","62,451","50,033","5,015","55,048","117,499"
Sub-Total for AFW,,"78,476","54,737","410,734","106,035","649,982","458,304","88,857","547,161","1,197,143"
AGC,2004,1,"20,832","47,365",653,"68,851","22,581",342,"22,923","91,774"
AGC,2005,1,"21,342","43,341",621,"65,305","24,059",348,"24,407","89,712"
AGC,2006,0,"21,362","40,318",736,"62,416","20,956",459,"21,415","83,831"
AGC,2007,10,"21,794","39,647",550,"62,001","19,493",326,"19,819","81,820"
AGC,2008,44,"23,128","38,583",584,"62,339","18,595",400,"18,995","81,334"
AGC,2009,9,"19,004","31,453",470,"50,936","18,244",151,"18,395","69,331"
AGC,2010,64,"18,214","31,211",409,"49,898","17,759",64,"17,823","67,721"
AGC,2011,9,"17,964","29,122",416,"47,511","14,659",154,"14,813","62,324"
AGC,2012,14,"18,309","29,421",342,"48,086","13,711",178,"13,889","61,975"
AGC,2013,8,"19,215","26,635",462,"46,320","12,846",115,"12,961","59,281"
AGC,2014,2,"17,472","24,771",366,"42,611","11,388",188,"11,576","54,187"
AGC,2015,9,"17,962","23,849",245,"42,065","9,334",228,"9,562","51,627"
Sub-Total for AGC,,171,"236,598","405,716","5,854","648,339","203,625","2,953","206,578","854,917"
AGS,2004,"4,998","9,111","17,511","2,406","34,026","6,063","1,715","7,778","41,804"
AGS,2005,"4,414","8,157","13,257","1,742","27,570","3,770","1,508","5,278","32,848"
AGS,2006,"3,215","7,857","12,681","2,052","25,805","3,829","2,013","5,842","31,647"
AGS,2007,"2,444","8,086","12,236","1,860","24,626","3,408","1,595","5,003","29,629"
AGS,2008,"2,197","8,136","13,710","2,036","26,079","1,797",853,"2,650","28,729"
AGS,2009,606,"11,260","11,536","1,944","25,346","2,746",665,"3,411","28,757"
AGS,2010,574,"12,529","11,393","1,581","26,077","3,306","1,020","4,326","30,403"
AGS,2011,922,"12,827","10,688","1,288","25,725","2,954",444,"3,398","29,123"
AGS,2012,"1,294","12,001","10,666","1,375","25,336","1,883",641,"2,524","27,860"
AGS,2013,"1,645","11,919","9,402","1,149","24,115","2,362",667,"3,029","27,144"
AGS,2014,"2,360","9,703","9,598","1,506","23,167","2,118",803,"2,921","26,088"
AGS,2015,"2,896","9,266","9,570","1,324","23,056","2,299",717,"3,016","26,072"
Sub-Total for AGS,,"27,565","120,852","142,248","20,263","310,928","36,535","12,641","49,176","360,104"
AHN,2004,14,"1,801","32,083","1,263","35,161","32,998","1,018","34,016","69,177"
AHN,2005,7,"1,572","28,782","1,559","31,920","28,392","1,766","30,158","62,078"
AHN,2006,47,"1,471","31,478","1,950","34,946","20,777","2,305","23,082","58,028"
AHN,2007,79,"1,668","26,853","1,438","30,038","19,478",851,"20,329","50,367"
AHN,2008,351,"2,262","23,064","1,343","27,020","17,391",980,"18,371","45,391"
AHN,2009,33,"3,766","17,811","1,179","22,789","13,947",710,"14,657","37,446"
AHN,2010,26,"2,699","17,040",969,"20,734","14,559",484,"15,043","35,777"
AHN,2011,64,"1,971","18,055",920,"21,010","14,171",515,"14,686","35,696"
AHN,2012,85,"1,945","16,276","1,180","19,486","8,947",259,"9,206","28,692"
AHN,2013,96,"2,192","20,578",874,"23,740","18,007",194,"18,201","41,941"
AHN,2014,27,"2,226","22,753",987,"25,993","15,050",202,"15,252","41,245"
AHN,2015,35,"1,734","18,939",736,"21,444","8,385",90,"8,475","29,919"
Sub-Total for AHN,,864,"25,307","273,712","14,398","314,281","212,102","9,374","221,476","535,757"
AKN,2004,"1,562","18,851","5,398",776,"26,587","1,131",930,"2,061","28,648"
AKN,2005,"1,472","26,755","7,555",609,"36,391",898,"1,323","2,221","38,612"
AKN,2006,"1,431","27,316","6,952",568,"36,267",805,"1,210","2,015","38,282"
AKN,2007,"1,273","26,309","7,170",364,"35,116",437,933,"1,370","36,486"
AKN,2008,934,"25,355","5,672",318,"32,279",853,444,"1,297","33,576"
AKN,2009,845,"19,756","7,667",468,"28,736",782,783,"1,565","30,301"
AKN,2010,868,"19,891","6,907",254,"27,920",686,289,975,"28,895"
AKN,2011,916,"19,282","6,423",191,"26,812",794,406,"1,200","28,012"
AKN,2012,808,"18,900","5,983",275,"25,966",700,451,"1,151","27,117"
AKN,2013,773,"17,220","5,822",280,"24,095",704,473,"1,177","25,272"
AKN,2014,686,"18,528","5,708",231,"25,153",640,607,"1,247","26,400"
AKN,2015,893,"18,403","5,333",240,"24,869",922,486,"1,408","26,277"
Sub-Total for AKN,,"12,461","256,566","76,590","4,574","350,191","9,352","8,335","17,687","367,878"
ALB,2004,"27,484","67,617","25,975","2,951","124,027","9,201","1,699","10,900","134,927"
ALB,2005,"28,729","48,173","26,331","3,217","106,450","7,923","1,717","9,640","116,090"
ALB,2006,"26,445","42,577","28,750","4,031","101,803","11,237","2,469","13,706","115,509"
ALB,2007,"26,225","39,826","22,991","3,133","92,175","5,960","1,012","6,972","99,147"
ALB,2008,"26,532","33,017","20,047","3,108","82,704","9,040","2,176","11,216","93,920"
ALB,2009,"25,687","32,868","18,004","3,246","79,805","11,891","3,404","15,295","95,100"
ALB,2010,"24,791","30,985","17,230","3,649","76,655","11,291","4,480","15,771","92,426"
ALB,2011,"23,301","32,167","15,927","2,852","74,247","6,355","1,468","7,823","82,070"
ALB,2012,"22,902","27,259","14,167","3,236","67,564","6,933","1,321","8,254","75,818"
ALB,2013,"22,718","24,792","13,624","2,616","63,750","7,463","1,835","9,298","73,048"
ALB,2014,"21,746","22,645","13,802","2,392","60,585","9,928","2,155","12,083","72,668"
ALB,2015,"22,067","21,525","14,447","2,688","60,727","7,786","1,352","9,138","69,865"
Sub-Total for ALB,,"298,627","423,451","231,295","37,119","990,492","105,008","25,088","130,096","1,120,588"
ALN,2004,23,"1,529","30,122",440,"32,114","35,300",952,"36,252","68,366"
ALN,2005,0,"1,726","28,727",496,"30,949","34,483","1,080","35,563","66,512"
ALN,2006,2,"1,723","28,939",388,"31,052","42,110",860,"42,970","74,022"
ALN,2007,4,"1,590","29,082",505,"31,181","44,293","1,068","45,361","76,542"
ALN,2008,2,"1,053","25,022",475,"26,552","36,039",736,"36,775","63,327"
ALN,2009,18,694,"19,972",423,"21,107","26,750",416,"27,166","48,273"
ALN,2010,1,851,"13,102",422,"14,376","17,504","1,776","19,280","33,656"
ALN,2011,1,937,"12,564",493,"13,995","16,921","1,596","18,517","32,512"
ALN,2012,3,819,"14,035",640,"15,497","10,825",908,"11,733","27,230"
ALN,2013,1,"1,495","14,684",441,"16,621","12,096",653,"12,749","29,370"
ALN,2014,30,"2,136","12,475",376,"15,017","12,312",556,"12,868","27,885"
ALN,2015,26,"2,492","12,136",362,"15,016","14,263",592,"14,855","29,871"
Sub-Total for ALN,,111,"17,045","240,860","5,461","263,477","302,896","11,193","314,089","577,566"
ALO,2004,"1,029","4,482","17,531","2,227","25,269","10,235","1,003","11,238","36,507"
ALO,2005,548,"4,039","14,925","2,209","21,721","8,900","1,102","10,002","31,723"
ALO,2006,411,"3,442","15,867","2,028","21,748","9,296",590,"9,886","31,634"
ALO,2007,338,"3,289","15,160","1,941","20,728","6,218",853,"7,071","27,799"
ALO,2008,352,"3,142","12,323","1,030","16,847","7,108",985,"8,093","24,940"
ALO,2009,216,"2,594","10,881",900,"14,591","10,105",262,"10,367","24,958"
ALO,2010,30,"2,246","10,579","1,199","14,054","8,546",682,"9,228","23,282"
ALO,2011,41,"2,125","9,964","1,261","13,391","6,558",628,"7,186","20,577"
ALO,2012,30,"1,847","10,088",791,"12,756","7,437",499,"7,936","20,692"
ALO,2013,30,"1,354","9,306",853,"11,543","8,043",781,"8,824","20,367"
ALO,2014,33,"1,386","8,827","1,231","11,477","4,321",726,"5,047","16,524"
ALO,2015,54,"1,345","10,516","1,163","13,078","7,755",628,"8,383","21,461"
Sub-Total for ALO,,"3,112","31,291","145,967","16,833","197,203","94,522","8,739","103,261","300,464"
ALW,2004,26,"3,703","15,481",87,"19,297","17,962",40,"18,002","37,299"
ALW,2005,6,"2,997","14,094",77,"17,174","15,539",56,"15,595","32,769"
ALW,2006,4,"3,189","11,356",75,"14,624","11,138",23,"11,161","25,785"
ALW,2007,2,"2,849","13,273",88,"16,212","15,541",16,"15,557","31,769"
ALW,2008,258,"2,514","12,781",118,"15,671","17,605",0,"17,605","33,276"
ALW,2009,"1,702",867,"11,266",136,"13,971","17,211",4,"17,215","31,186"
ALW,2010,"1,024",799,"9,927",171,"11,921","12,492",2,"12,494","24,415"
ALW,2011,"1,008",909,"11,623",89,"13,629","15,994",0,"15,994","29,623"
ALW,2012,926,935,"10,687",92,"12,640","12,044",2,"12,046","24,686"
ALW,2013,751,937,"11,094",50,"12,832","13,802",4,"13,806","26,638"
ALW,2014,948,904,"9,185",63,"11,100","12,543",0,"12,543","23,643"
ALW,2015,977,843,"9,471",46,"11,337","10,966",0,"10,966","22,303"
Sub-Total for ALW,,"7,632","21,446","140,238","1,092","170,408","172,837",147,"172,984","343,392"
AMA,2004,"9,409","12,973","22,016","27,242","71,640","4,390","34,953","39,343","110,983"
AMA,2005,"9,245","12,415","20,671","19,515","61,846","7,502","28,214","35,716","97,562"
AMA,2006,"8,236","12,875","21,357","19,281","61,749","5,321","24,915","30,236","91,985"
AMA,2007,"8,385","11,979","20,332","19,822","60,518","4,941","18,580","23,521","84,039"
AMA,2008,"11,146","9,440","19,226","17,095","56,907","5,792","11,916","17,708","74,615"
AMA,2009,"10,804","8,936","17,817","19,730","57,287","9,443","13,239","22,682","79,969"
AMA,2010,"10,096","9,356","18,315","20,411","58,178","6,929","14,478","21,407","79,585"
AMA,2011,"8,459","10,412","16,366","16,845","52,082","5,929","12,932","18,861","70,943"
AMA,2012,"6,642","12,544","15,503","11,430","46,119","9,435","11,020","20,455","66,574"
AMA,2013,"6,290","12,342","14,510","10,803","43,945","5,643","9,834","15,477","59,422"
AMA,2014,"7,379","10,862","14,812","11,585","44,638","5,798","10,317","16,115","60,753"
AMA,2015,"6,839","7,590","13,748","13,130","41,307","6,514","10,564","17,078","58,385"
Sub-Total for AMA,,"102,930","131,724","214,673","206,889","656,216","77,637","200,962","278,599","934,815"
ANC,2004,"127,595","84,458","84,525","5,934","302,512","6,946",2,"6,948","309,460"
ANC,2005,"133,314","87,761","82,274","5,982","309,331","6,895",16,"6,911","316,242"
ANC,2006,"131,963","86,714","72,865","4,116","295,658","7,450",0,"7,450","303,108"
ANC,2007,"129,403","86,362","73,741","4,843","294,349","5,512",56,"5,568","299,917"
ANC,2008,"115,752","83,767","70,609","5,105","275,233","5,278",14,"5,292","280,525"
ANC,2009,"99,065","71,612","73,941","4,385","249,003","7,629",0,"7,629","256,632"
ANC,2010,"114,452","74,937","74,815","4,401","268,605","6,173",0,"6,173","274,778"
ANC,2011,"108,299","78,399","78,101","2,401","267,200","6,047",56,"6,103","273,303"
ANC,2012,"102,348","80,569","77,107","2,250","262,274","8,715",8,"8,723","270,997"
ANC,2013,"100,992","77,883","74,361","2,294","255,530","8,814",46,"8,860","264,390"
ANC,2014,"101,135","78,905","83,332","2,165","265,537","11,424",50,"11,474","277,011"
ANC,2015,"107,026","81,636","78,455","2,153","269,270","9,381",33,"9,414","278,684"
Sub-Total for ANC,,"1,371,344","973,003","924,126","46,029","3,314,502","90,264",281,"90,545","3,405,047"
ANE,2004,0,"3,656","53,950",361,"57,967","51,610",276,"51,886","109,853"
ANE,2005,0,"3,296","50,878",314,"54,488","46,370",414,"46,784","101,272"
ANE,2006,0,"3,127","48,252",271,"51,650","40,941",356,"41,297","92,947"
ANE,2007,0,"2,762","43,131",200,"46,093","34,134",290,"34,424","80,517"
ANE,2008,0,"3,791","37,612",158,"41,561","27,492",350,"27,842","69,403"
ANE,2009,0,"4,325","37,358",120,"41,803","26,394",306,"26,700","68,503"
ANE,2010,0,"5,144","40,797",178,"46,119","33,094",390,"33,484","79,603"
ANE,2011,14,"4,808","40,517",230,"45,569","28,683",230,"28,913","74,482"
ANE,2012,0,"4,095","42,988",152,"47,235","31,649",466,"32,115","79,350"
ANE,2013,0,"4,062","39,172",183,"43,417","32,719",592,"33,311","76,728"
ANE,2014,6,"4,465","35,135",165,"39,771","27,914",472,"28,386","68,157"
ANE,2015,5,"3,593","40,501",262,"44,361","44,787",560,"45,347","89,708"
Sub-Total for ANE,,25,"47,124","510,291","2,594","560,034","425,787","4,702","430,489","990,523"
APA,2004,0,"51,888","134,842","2,044","188,774","166,040","2,095","168,135","356,909"
