Rank,FAA Region,ADO,ST,Locid,Airport Name,City,Service Level,Hub,2004-2014 Percentage,2004-2014 (lbs),2014 (lbs),2013 (lbs),2012 (lbs),2011 (lbs),2010 (lbs),2009 (lbs),2008 (lbs),2007 (lbs),2006 (lbs),2005 (lbs),2004 (lbs)
119,SO,MEM,TN,CHA,Lovell Field,Chattanooga,P,N,0%,"115,128,166","60,371,307","54,756,859",,,,,,,,,
113,SW,LANM,LA,LFT,Lafayette Regional/Paul Fournet Field,Lafayette,P,N,0%,"107,586,000","107,586,000",0,,,,,,,,,
129,EA,NYC,NY,IAG,Niagara Falls International,Niagara Falls,P,N,0%,"76,709,238","1,819,238",0,,,,,  0,"  57,810,000",,,"74,890,000"
122,NE,ANE,NH,PSM,Portsmouth International at Pease,Portsmouth,P,N,0%,"64,958,038","19,313,869","8,247,636","11,050,312","18,992,900","1,413,000","3,417,444","  2,246,340","  2,054,080",,,"2,522,877"
128,SO,JAN,MS,HKS,Hawkins Field,Jackson,GA,-,0%,"43,089,757","2,233,501","4,886,905","5,549,081","1,894,025","1,512,040","2,753,600","  5,141,460","  19,508,457",,,"24,260,605"
124,WP,LAX,CA,RIV,March ARB,Riverside,R,-,0%,"23,135,000","9,220,000","13,310,000","605,000",0,,,"  280,839,500","  276,783,500",,,
126,SW,LANM,NM,GUP,Gallup Municipal,Gallup,GA,-,0%,"19,158,650","4,734,240","4,804,860","4,787,290","4,832,260",,,,,,,
127,GL,DET,MI,IWD,Gogebic-Iron County,Ironwood,CS,-,0%,"9,196,700","4,469,000","4,727,700",,,,,,,,,
125,WP,SFO,CA,CIC,Chico Municipal,Chico,P,N,0%,"6,476,200","6,476,200",0,,,,,,,,,
130,SW,LANM,NM,TCC,Tucumcari Municipal,Tucumcari,GA,-,0%,"4,616,250","1,419,050",0,"1,772,400","1,424,800",,,,,,,
131,WP,LAX,CA,VNY,Van Nuys,Van Nuys,R,-,0%,"1,081,700","422,000","136,900","47,900","271,700","203,200",0,,,,,
9999,WP,SFO,CA,SCK,Stockton Metropolitan,Stockton,P,N,0%,"332,277",0,"148,300","102,000",0,"81,977",0,"  49,020","  16,900",,,
67,SO,ATL,SC,CHS,Charleston AFB/International,Charleston,P,S,0%,,"331,683,000","261,904,500","258,411,000","294,658,000","356,617,500","402,190,200","  432,080,800","  440,496,800","393,606,000",,
78,NM,SEA,WA,PAE,Snohomish County (Paine Field),Everett,R,-,0%,,"264,430,000","167,888,000",,,,,,,,,
,,,,,Subtotal - 114 qualifying airports,,,,,"1,259,561,930,000","39,200,462,405",,,,,,,,,,
