Rank,FAA Region,ADO,ST,Locid,Airport Name,City,Service Level,Hub,2004-2014 Percentage,2004-2014 (lbs),2014 (lbs),2013 (lbs),2012 (lbs),2011 (lbs),2010 (lbs),2009 (lbs),2008 (lbs),2007 (lbs),2006 (lbs),2005 (lbs),2004 (lbs)
65,NM,HLN,ID,BOI,Boise Air Terminal/Gowen Field,Boise,P,S,0%,"3,027,492,144","343,847,570","328,429,116","320,765,768","323,331,158","319,913,154","322,630,928","  373,367,574","  366,729,990","358,056,250","349,419,050","361,099,150"
64,GL,DMA,SD,FSD,Joe Foss Field,Sioux Falls,P,S,0%,"3,011,274,312","351,194,964","338,039,460","144,740,556","344,151,020","332,064,465","323,082,733","  346,645,084","  378,464,616","385,398,417","388,645,497","403,957,200"
68,EA,NYC,NY,SYR,Syracuse Hancock International,Syracuse,P,S,0%,"3,001,179,765","326,187,092","325,436,076","316,701,004","316,555,312","314,922,206","310,842,625","  368,527,518","  381,292,117","339,882,750","373,569,800","377,082,900"
76,EA,HAR,PA,MDT,Harrisburg International,Harrisburg,P,S,0%,"2,976,888,223","273,774,216","373,049,716","338,674,680","346,440,829","344,471,810","292,286,342","  267,484,656","  287,196,350","334,368,650","350,707,030","323,114,950"
69,SW,AROK,OK,TUL,Tulsa International,Tulsa,P,S,0%,"2,896,267,573","311,962,782","318,936,273","316,965,734","329,702,899","320,815,994","327,976,263","  350,286,342","  334,508,456","314,404,450","323,687,270","331,815,908"
74,SO,MEM,TN,TYS,McGhee Tyson,Alcoa,P,S,0%,"2,689,372,119","284,412,678","303,944,266","314,786,497","311,632,296","313,249,118","307,780,530","  344,331,198","  319,503,795","301,061,338","288,618,976","263,886,420"
109,AL,AAL,AK,FAI,Fairbanks International,Fairbanks,P,S,0%,"2,680,631,692","119,372,978","122,505,081","133,641,827","121,194,017","209,958,360","169,047,135","  189,669,777","  182,209,686","291,772,317","693,317,147","819,822,830"
72,EA,NYC,NY,BUF,Buffalo Niagara International,Buffalo,P,M,0%,"2,650,057,780","294,675,727","291,327,803","293,481,759","292,277,342","278,700,319","249,522,780","  280,655,165","  327,760,127","316,911,900","314,316,950","318,843,200"
73,WP,SFO,CA,SMF,Sacramento International,Sacramento,P,M,0%,"2,483,553,130","287,806,700","291,228,750","287,776,900","278,496,500","270,440,150","275,226,170","  319,245,420","  360,832,040","306,934,140","241,454,520","244,189,300"
84,SW,LANM,LA,SHV,Shreveport Regional,Shreveport,P,N,0%,"2,425,382,801","224,776,958","231,059,308","265,142,597","293,439,650","295,928,554","251,633,408","  307,101,208","  288,944,960","267,515,355","293,380,031","302,506,940"
79,WP,HNL,HI,OGG,Kahului,Kahului,P,M,0%,"2,288,708,300","249,422,700","240,186,200","227,655,400","224,208,300","220,923,100","212,283,400","  211,779,600","  297,824,600","289,761,200","290,591,900","333,676,100"
92,GL,DET,MI,YIP,Willow Run,Detroit,R,-,0%,"2,277,477,386","194,188,703","162,380,193","217,158,227","246,739,675","188,203,708","111,332,940","  150,504,984","  294,864,273","316,624,235","341,129,830","499,719,875"
80,SW,TEX,TX,HRL,Valley International,Harlingen,P,N,0%,"2,261,292,814","246,377,050","241,949,350","233,875,928","238,983,292","254,442,688","260,550,906","  289,338,650","  264,530,588","248,888,700","276,020,250","260,204,650"
66,SW,TEX,TX,LBB,Lubbock Preston Smith International,Lubbock,P,S,0%,"2,162,016,783","334,883,620","333,349,705","222,178,375","215,800,858","267,360,643","239,918,312","  243,087,132","  226,363,146","191,344,436","178,827,162","178,353,672"
83,GL,DET,MI,GRR,Gerald R Ford International,Grand Rapids,P,S,0%,"2,087,249,866","238,096,695","243,094,596","225,234,407","225,055,476","218,522,107","217,884,405","  297,995,700","  263,132,500","244,454,910","243,363,550","231,543,720"
86,CE,ACE,KS,ICT,Wichita Dwight D Eisenhower National,Wichita,P,S,0%,"2,053,244,687","211,328,367","203,516,039","200,885,237","201,123,121","199,534,048","206,151,375","  232,116,838","  225,144,760","243,275,800","284,985,700","302,445,000"
75,CE,ACE,IA,CID,The Eastern Iowa,Cedar Rapids,P,S,0%,"2,037,961,526","280,038,467","214,746,641","250,941,541","210,618,182","206,621,220","247,268,375","  238,581,517","  221,766,739","211,334,500","204,822,000","211,570,600"
88,WP,HNL,HI,KOA,Kona International at Keahole,Kailua Kona,P,S,0%,"2,020,463,900","207,349,100","199,673,200","186,493,900","205,869,200","199,377,000","189,439,500","  201,817,300","  257,998,900","276,712,100","273,795,800","281,754,100"
85,SW,AROK,OK,OKC,Will Rogers World,Oklahoma City,P,S,0%,"1,999,465,742","219,221,158","214,950,023","213,332,230","214,256,751","214,159,347","247,354,040","  241,852,314","  221,775,650","222,340,584","229,011,950","224,839,659"
91,EA,WAS,VA,ORF,Norfolk International,Norfolk,P,S,0%,"1,949,203,391","197,539,516","210,261,650","221,979,542","214,371,550","214,872,076","198,978,355","  206,069,300","  217,530,600","217,739,045","235,580,740","237,880,917"
90,CE,ACE,MO,SGF,Springfield-Branson National,Springfield,P,N,0%,"1,891,243,910","197,790,480","208,638,520","202,800,100","189,744,897","191,604,087","226,171,154","  326,850,691","  326,548,556","282,527,520","191,180,217","200,786,935"
