,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
384,NE,RI,WST,Westerly,Westerly State,N,0%,"98,136"
385,SO,NC,92NC,Morganton,Grace Hospital,None,0%,0
386,NM,WA,FHR,Friday Harbor,Friday Harbor,N,0%,"164,585"
387,AL,AK,GST,Gustavus,Gustavus,N,0%,"110,660"
388,NE,MA,PVC,Provincetown,Provincetown Municipal,N,0%,"123,404"
389,AL,AK,GAL,Galena,Edward G Pitka Sr,N,0%,"123,174"
390,GL,IL,MWA,Marion,Williamson County Regional,N,0%,"101,412"
391,AL,AK,DGG,Red Dog Mine,Red Dog,None,0%,"103,672"
392,GL,MI,APN,Alpena,Alpena County Regional,N,0%,"112,057"
393,AL,AK,YAK,Yakutat,Yakutat,N,0%,"122,010"
394,NE,NH,LEB,Lebanon,Lebanon Municipal,N,0%,"109,883"
395,NM,MT,SDY,Sidney,Sidney-Richland Municipal,N,0%,"80,822"
396,CE,KS,SLN,Salina,Salina Regional,N,0%,"38,702"
397,AL,AK,HNH,Hoonah,Hoonah,N,0%,"104,214"
398,AL,AK,AKW,Klawock,Klawock,None,0%,"11,992"
399,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,None,0%,"115,117"
400,SO,MS,UTA,Tunica,Tunica Municipal,None,0%,"401,981"
401,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,None,0%,"81,193"
402,CE,IA,BRL,Burlington,Southeast Iowa Regional,None,0%,"59,361"
403,AL,AK,HNS,Haines,Haines,None,0%,"91,472"
404,EA,NJ,MMU,Morristown,Morristown Municipal,None,0%,"44,161"
405,SO,SC,AIK,Aiken,Aiken Municipal,None,0%,"1,028"
406,WP,HI,LUP,Kalaupapa,Kalaupapa,None,0%,"26,377"
407,AL,AK,AQH,Quinhagak,Quinhagak,None,0%,"75,839"
408,CE,KS,HYS,Hays,Hays Regional,None,0%,"97,172"
409,WP,AZ,1Z1,Whitmore,Grand Canyon Bar Ten Airstrip,None,0%,"37,726"
410,SO,FL,VQQ,Jacksonville,Cecil,None,0%,528
411,AL,AK,SGY,Skagway,Skagway,None,0%,"97,947"
412,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,None,0%,"69,227"
413,GL,IL,DEC,Decatur,Decatur,None,0%,"77,119"
414,EA,NJ,TEB,Teterboro,Teterboro,None,0%,"113,059"
415,NM,MT,WYS,West Yellowstone,Yellowstone,None,0%,"49,141"
416,SO,GA,SVN,Savannah,Hunter AAF,None,0%,"148,731"
417,AL,AK,ENM,Emmonak,Emmonak,None,0%,"107,600"
418,NE,MA,EWB,New Bedford,New Bedford Regional,None,0%,"147,546"
419,GL,MI,MGN,Harbor Springs,Harbor Springs,None,0%,"37,130"
420,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,None,0%,"107,368"
421,AL,AK,CDB,Cold Bay,Cold Bay,None,0%,"98,364"
422,SO,FL,NIP,Jacksonville,Jacksonville NAS (Towers Field),None,0%,"122,184"
423,CE,IA,MCW,Mason City,Mason City Municipal,None,0%,"110,961"
424,AL,AK,FYU,Fort Yukon,Fort Yukon,None,0%,"92,504"
425,GL,SD,PIR,Pierre,Pierre Regional,None,0%,"159,418"
426,AL,AK,IIK,Kipnuk,Kipnuk,None,0%,"63,152"
427,AL,AK,VAK,Chevak,Chevak,None,0%,"57,649"
428,AL,AK,HPB,Hooper Bay,Hooper Bay,None,0%,"64,363"
429,EA,WV,LWB,Lewisburg,Greenbrier Valley,None,0%,"118,648"
430,SO,NC,POB,Fayetteville,Pope AAF,None,0%,"203,765"
431,CE,MO,CGI,Scott City,Cape Girardeau Regional,None,0%,"54,005"
432,GL,ND,DVL,Devils Lake,Devils Lake Regional,None,0%,"39,934"
433,AL,AK,OOK,Toksook Bay,Toksook Bay,None,0%,"51,978"
434,GL,ND,JMS,Jamestown,Jamestown Regional,None,0%,"34,576"
435,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,None,0%,"70,782"
436,AL,AK,5Z9,Katmai National Park,Lake Brooks,None,0%,"36,158"
437,AL,AK,ILI,Iliamna,Iliamna,None,0%,"82,812"
438,NM,CO,LMO,Longmont,Vance Brand,None,0%,48
439,NM,WA,S60,Kenmore,Kenmore Air Harbor Inc,None,0%,"187,682"
440,WP,CA,VIS,Visalia,Visalia Municipal,None,0%,"32,376"
441,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,None,0%,"106,180"
442,CE,KS,LBL,Liberal,Liberal Mid-America Regional,None,0%,"80,973"
443,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,None,0%,"47,090"
444,AL,AK,WLK,Selawik,Selawik,None,0%,"59,479"
445,WP,HI,JRF,Kapolei,Kalaeloa (John Rodgers Field),None,0%,"2,100"
446,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,None,0%,"70,596"
447,NM,WA,ORS,Eastsound,Orcas Island,None,0%,"40,529"
448,CE,MO,IRK,Kirksville,Kirksville Regional,None,0%,"33,400"
449,CE,MO,BBG,Branson,Branson,None,0%,"535,520"
450,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,None,0%,"108,089"
451,NE,ME,AUG,Augusta,Augusta State,None,0%,"52,361"
452,EA,NY,OGS,Ogdensburg,Ogdensburg International,None,0%,"33,068"
453,EA,NY,SLK,Saranac Lake,Adirondack Regional,None,0%,"49,038"
454,AL,AK,CFK,Chefornak,Chefornak,None,0%,"41,203"
455,CE,IA,IOW,Iowa City,Iowa City Municipal,None,0%,"4,277"
456,GL,MI,MBL,Manistee,Manistee Co-Blacker,None,0%,"36,711"
457,AL,AK,PHO,Point Hope,Point Hope,None,0%,"51,707"
458,CE,KS,FOE,Topeka,Topeka Regional,None,0%,"148,361"
459,WP,HI,MUE,Kamuela,Waimea-Kohala,None,0%,"15,093"
460,WP,CA,CEC,Crescent City,Jack McNamara Field,None,0%,"141,450"
461,AL,AK,SCM,Scammon Bay,Scammon Bay,None,0%,"45,548"
462,SW,AR,JBR,Jonesboro,Jonesboro Municipal,None,0%,"29,675"
463,SW,NM,CVN,Clovis,Clovis Municipal,None,0%,"22,775"
464,GL,MI,IWD,Ironwood,Gogebic-Iron County,None,0%,"27,106"
465,AL,AK,MOU,Mountain Village,Mountain Village,None,0%,"55,430"
466,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,None,0%,"99,453"
467,CE,NE,EAR,Kearney,Kearney Regional,None,0%,"111,489"
468,AL,AK,2A9,Kotlik,Kotlik,None,0%,"43,198"
469,EA,NY,MSS,Massena,Massena International-Richards Field,None,0%,"37,623"
470,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,None,0%,"56,595"
471,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,None,0%,"88,194"
472,AL,AK,WTK,Noatak,Noatak,None,0%,"52,776"
473,SW,AR,HRO,Harrison,Boone County,None,0%,"38,685"
474,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,None,0%,"94,515"
475,AL,AK,EIL,Fairbanks,Eielson AFB,None,0%,"33,135"
476,AL,AK,DUY,Kongiganak,Kongiganak,None,0%,"42,490"
477,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,None,0%,"63,499"
478,AL,AK,SDP,Sand Point,Sand Point,None,0%,"45,839"
479,AL,AK,Z09,Kasigluk,Kasigluk,None,0%,"45,931"
480,AL,AK,BVK,Buckland,Buckland,None,0%,"42,809"
481,GL,MI,YIP,Detroit,Willow Run,None,0%,"37,172"
482,AL,AK,A61,Tuntutuliak,Tuntutuliak,None,0%,"40,004"
483,AL,AK,AWI,Wainwright,Wainwright,None,0%,"43,868"
484,SW,NM,SVC,Silver City,Grant County,None,0%,"20,359"
485,AL,AK,SOV,Seldovia,Seldovia,None,0%,"73,716"
486,SW,AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,None,0%,"22,628"
487,NM,MT,OLF,Wolf Point,L M Clayton,None,0%,"20,446"
488,AL,AK,AUK,Alakanuk,Alakanuk,None,0%,"39,967"
489,AL,AK,EEK,Eek,Eek,None,0%,"37,456"
490,AL,AK,GGV,Kwigillingok,Kwigillingok,None,0%,"39,002"
491,NM,MT,GGW,Glasgow,Wokal Field/Glasgow International,None,0%,"20,823"
492,AL,AK,0AK,Pilot Station,Pilot Station,None,0%,"39,176"
493,AL,AK,SVA,Savoonga,Savoonga,None,0%,"44,861"
494,NM,CO,PUB,Pueblo,Pueblo Memorial,None,0%,"85,366"
495,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,None,0%,"172,280"
496,SW,TX,VCT,Victoria,Victoria Regional,None,0%,"75,336"
497,AL,AK,TPO,Port Alsworth,Port Alsworth,None,0%,"14,453"
498,NM,WY,RIW,Riverton,Riverton Regional,None,0%,"148,430"
499,EA,PA,BFD,Bradford,Bradford Regional,None,0%,"40,212"
500,SO,KY,HOP,Fort Campbell,Campbell AAF (Fort Campbell),None,0%,"117,006"
501,AL,AK,16A,Nunapitchuk,Nunapitchuk,None,0%,"33,688"
502,NM,CO,FNL,Loveland,Fort Collins-Loveland Municipal,None,0%,"310,224"
503,AL,AK,KVL,Kivalina,Kivalina,None,0%,"38,794"
504,AL,AK,KWT,Kwethluk,Kwethluk,None,0%,"34,426"
505,WP,AZ,PRC,Prescott,Ernest A Love Field,None,0%,"64,695"
506,AL,AK,EWU,Newtok,Newtok,None,0%,"26,350"
507,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,None,0%,"40,156"
508,AL,AK,SHH,Shishmaref,Shishmaref,None,0%,"40,094"
509,AL,AK,GAM,Gambell,Gambell,None,0%,"42,542"
510,AL,AK,KLG,Kalskag,Kalskag,None,0%,"40,989"
511,AL,AK,Z13,Akiachak,Akiachak,None,0%,"29,790"
512,AL,AK,IAN,Kiana,Bob Baker Memorial,None,0%,"41,279"
513,EA,PA,DUJ,Brookville,Dubois Regional,None,0%,"69,977"
514,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,None,0%,"32,783"
515,NM,OR,UAO,Aurora,Aurora State,None,0%,"74,492"
516,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,None,0%,"70,446"
517,GL,MI,PTK,Pontiac,Oakland County International,None,0%,"34,799"
518,SW,NM,FMN,Farmington,Four Corners Regional,None,0%,"207,328"
519,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,None,0%,"36,171"
520,CE,MO,MKC,Kansas City,Charles B Wheeler Downtown,None,0%,"21,488"
521,AL,AK,4KA,Tununak,Tununak,None,0%,"21,839"
522,AL,AK,HLA,Huslia,Huslia,None,0%,"35,473"
523,AL,AK,CXF,Coldfoot,Coldfoot,None,0%,"17,483"
524,AL,AK,BTI,Kaktovik,Barter Island LRRS,None,0%,"32,856"
525,AL,AK,MTM,Metlakatla,Metlakatla,None,0%,"41,871"
526,AL,AK,MCG,McGrath,McGrath,None,0%,"52,738"
527,SW,AR,HOT,Hot Springs,Memorial Field,None,0%,"26,032"
528,EA,VA,LFI,Hampton,Langley AFB,None,0%,"20,593"
529,AL,AK,SNP,Saint Paul Island,St Paul Island,None,0%,"33,631"
530,AL,AK,AQT,Nuiqsut,Nuiqsut,None,0%,"34,651"
531,AL,AK,WBB,Stebbins,Stebbins,None,0%,"27,931"
532,AL,AK,4A2,Atmautluak,Atmautluak,None,0%,"25,281"
533,AL,AK,IGT,Nightmute,Nightmute,None,0%,"19,620"
534,GL,OH,BKL,Cleveland,Burke Lakefront,None,0%,"17,032"
535,WP,CA,IPL,Imperial,Imperial County,None,0%,"69,381"
536,AL,AK,CGA,Craig,Craig,None,0%,"43,490"
537,AL,AK,TLT,Tuluksak,Tuluksak,None,0%,"30,525"
538,EA,MD,ADW,Camp Springs,Joint Base Andrews,None,0%,"46,188"
539,GL,IN,GYY,Gary,Gary/Chicago International,None,0%,"100,374"
540,SO,MS,TUP,Tupelo,Tupelo Regional,None,0%,"187,032"
541,NM,WA,W33,Friday Harbor,Friday Harbor,None,0%,"4,336"
542,AL,AK,2A3,Larsen Bay,Larsen Bay,None,0%,"29,256"
543,GL,IN,LAF,Lafayette,Purdue University,None,0%,"22,023"
544,NE,ME,70B,Millinocket,Millinocket,None,0%,"19,000"
545,AL,AK,RSH,Russian Mission,Russian Mission,None,0%,"30,264"
546,EA,PA,AOO,Altoona,Altoona-Blair County,None,0%,"60,013"
547,AL,AK,SMK,St Michael,St Michael,None,0%,"28,497"
548,AL,AK,2C7,Shaktoolik,Shaktoolik,None,0%,"24,156"
549,WP,AS,FAQ,Fitiuta,Fitiuta,None,0%,"2,130"
550,SO,AL,BFM,Mobile,Mobile Downtown,None,0%,"7,101"
551,AL,AK,ELI,Elim,Elim,None,0%,"28,859"
552,CE,KS,DDC,Dodge City,Dodge City Regional,None,0%,"53,494"
553,AL,AK,KTS,Brevig Mission,Brevig Mission,None,0%,"25,222"
554,NM,MT,HVR,Havre,Havre City-County,None,0%,"13,502"
555,AL,AK,KTB,Thorne Bay,Thorne Bay,None,0%,"27,031"
556,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,None,0%,"29,395"
557,EA,NJ,WRI,Wrightstown,McGuire Field (Joint Base McGuire Dix Lakehurst),None,0%,"129,690"
558,EA,WV,BKW,Beckley,Raleigh County Memorial,None,0%,"32,784"
559,NM,MT,GDV,Glendive,Dawson Community,None,0%,"10,475"
560,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,None,0%,"105,674"
561,NM,CO,CEZ,Cortez,Cortez Municipal,None,0%,"84,544"
562,AL,AK,RBY,Ruby,Ruby,None,0%,"22,934"
563,AL,AK,NUL,Nulato,Nulato,None,0%,"33,171"
564,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,None,0%,"27,145"
565,AL,AK,KAE,Kake,Kake,None,0%,"20,726"
566,WP,AZ,SOW,Show Low,Show Low Regional,None,0%,"51,262"
567,AL,AK,KEB,English Bay,Nanwalek,None,0%,"33,020"
568,AL,AK,AGN,Angoon,Angoon,None,0%,"20,857"
569,AL,AK,AKI,Akiak,Akiak,None,0%,"22,108"
570,AL,AK,AFM,Ambler,Ambler,None,0%,"24,342"
571,AL,AK,VEE,Venetie,Venetie,None,0%,"24,542"
572,AL,AK,6R7,Old Harbor,Old Harbor,None,0%,"31,184"
573,NM,UT,CNY,Moab,Canyonlands Field,None,0%,"56,025"
574,GL,IL,GBG,Galesburg,Galesburg Municipal,None,0%,"2,170"
575,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,None,0%,"21,225"
576,WP,GU,UAM,"Andersen,Mariana Island",Andersen AFB,None,0%,"24,128"
577,AL,AK,SHG,Shungnak,Shungnak,None,0%,"24,657"
578,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,None,0%,"11,176"
579,SW,TX,TA80,Whitesboro,U U Ranch,None,0%,0
580,WP,CA,MCE,Merced,Merced Regional/Macready Field,None,0%,"47,480"
581,SW,TX,AFW,Fort Worth,Fort Worth Alliance,None,0%,"13,124"
582,AL,AK,EDF,Anchorage,Elmendorf AFB,None,0%,"37,014"
583,NM,WA,W39,Roche Harbor,Roche Harbor,None,0%,"18,229"
584,GL,IL,CPS,Cahokia,St Louis Downtown,None,0%,"7,654"
585,GL,IN,BMG,Bloomington,Monroe County,None,0%,"14,978"
586,NM,WA,TCM,Tacoma,McChord Field (Joint Base Lewis-McChord),None,0%,"162,340"
587,AL,AK,PGM,Port Graham,Port Graham,None,0%,"29,305"
588,AL,AK,TYE,Tyonek,Tyonek,None,0%,"34,207"
589,SW,OK,SWO,Stillwater,Stillwater Regional,None,0%,"20,354"
590,WP,NV,LSV,Las Vegas,Nellis AFB,None,0%,"30,615"
591,AL,AK,WNA,Napakiak,Napakiak,None,0%,"18,961"
592,WP,HI,HNM,Hana,Hana,None,0%,"22,157"
593,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,None,0%,"51,448"
594,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,None,0%,"32,757"
595,SO,TN,MKL,Jackson,McKellar-Sipes Regional,None,0%,"21,994"
596,AL,AK,GLV,Golovin,Golovin,None,0%,"12,606"
597,AL,AK,PKA,Napaskiak,Napaskiak,None,0%,"18,240"
598,AL,AK,PIZ,Point Lay,Point Lay LRRS,None,0%,"20,426"
599,AL,AK,6A8,Allakaket,Allakaket,None,0%,"24,333"
600,CE,NE,CDR,Chadron,Chadron Municipal,None,0%,"20,677"
601,SO,AL,TCL,Tuscaloosa,Tuscaloosa Regional,None,0%,"22,093"
602,AL,AK,SXP,Sheldon Point,Sheldon Point,None,0%,"16,381"
603,NE,MA,CEF,Chicopee,Westover ARB/Metropolitan,None,0%,"47,145"
604,AL,AK,LKK,Kulik Lake,Kulik Lake,None,0%,"15,562"
605,EA,PA,RDG,Reading,Reading Regional/Carl A Spaatz Field,None,0%,"28,510"
606,AL,AK,4K5,Ouzinkie,Ouzinkie,None,0%,"24,037"
607,AL,AK,WMO,White Mountain,White Mountain,None,0%,"20,360"
608,SO,AL,ANB,Anniston,Anniston Regional,None,0%,"5,901"
609,AL,AK,ARC,Arctic Village,Arctic Village,None,0%,"18,764"
610,SO,FL,HRT,Mary Esther,Hurlburt Field,None,0%,"16,307"
611,SW,LA,BAD,Bossier City,Barksdale AFB,None,0%,"12,574"
612,AL,AK,5NN,Nondalton,Nondalton,None,0%,"14,835"
613,EA,PA,LNS,Lititz,Lancaster,None,0%,"52,330"
614,WP,CA,NKX,San Diego,Miramar MCAS/Mitscher Field,None,0%,"30,771"
615,AL,AK,KAL,Kaltag,Kaltag,None,0%,"23,163"
616,SO,SC,SSC,Sumter,Shaw AFB,None,0%,"14,283"
617,AL,AK,BTT,Bettles,Bettles,None,0%,"18,033"
618,EA,PA,FKL,Franklin,Venango Regional,None,0%,"18,115"
619,CE,NE,AIA,Alliance,Alliance Municipal,None,0%,"16,390"
620,WP,CA,NZY,San Diego,North Island NAS /Halsey Field/,None,0%,"18,334"
621,AL,AK,KVC,King Cove,King Cove,None,0%,"29,738"
622,AL,AK,GNU,Goodnews Bay,Goodnews,None,0%,"16,566"
623,AL,AK,7AK,Akutan,Akutan,None,0%,"2,470"
624,AL,AK,DEE,Deering,Deering,None,0%,"17,976"
625,AL,AK,BLG,Beluga,Beluga,None,0%,"35,506"
626,AL,AK,ORI,Port Lions,Port Lions,None,0%,"23,542"
627,AL,AK,MYU,Mekoryuk,Mekoryuk,None,0%,"17,672"
628,GL,IL,PWK,Wheeling,Chicago Executive,None,0%,"17,259"
629,SW,TX,SKF,San Antonio,Kelly Field,None,0%,"46,516"
630,NM,UT,VEL,Vernal,Vernal Regional,None,0%,"46,594"
631,WP,CA,SUU,Fairfield,Travis AFB,None,0%,"22,784"
632,SO,FL,NQX,Key West,Key West NAS /Boca Chica Field/,None,0%,"2,984"
633,WP,CA,NTD,Point Mugu,Point Mugu NAS,None,0%,"20,398"
634,SO,SC,NBC,Beaufort,Beaufort MCAS /Merritt Field/,None,0%,"4,726"
635,AL,AK,IWK,Wales,Wales,None,0%,"16,077"
636,AL,AK,TER,Teller,Teller,None,0%,"15,920"
637,AL,AK,HCA,Holy Cross,Holy Cross,None,0%,"18,160"
638,AL,AK,KWF,Waterfall,Waterfall,None,0%,"16,263"
639,GL,ND,MIB,Minot,Minot AFB,None,0%,"4,624"
640,AL,AK,OBU,Kobuk,Kobuk,None,0%,"14,517"
641,AL,AK,PEC,Pelican,Pelican,None,0%,"9,262"
642,WP,AZ,SDL,Scottsdale,Scottsdale,None,0%,"22,893"
643,SW,OK,TIK,Oklahoma City,Tinker AFB,None,0%,"10,666"
644,SO,KY,BWG,Bowling Green,Bowling Green-Warren County Regional,None,0%,"6,866"
645,NM,UT,LGU,Logan,Logan-Cache,None,0%,"6,818"
646,SO,GA,AHN,Athens,Athens/Ben Epps,None,0%,"54,447"
647,NE,MA,BAF,Westfield,Westfield-Barnes Regional,None,0%,"2,993"
648,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,None,0%,"31,917"
649,NM,UT,UT25,Monument Valley,Monument Valley,None,0%,"41,367"
650,SW,TX,07TA,Danbury,Salaika Aviation,None,0%,"4,510"
651,AL,AK,HUS,Hughes,Hughes,None,0%,"12,317"
652,AL,AK,TOG,Togiak Village,Togiak,None,0%,"21,458"
653,CE,NE,OFF,Omaha,Offutt AFB,None,0%,"10,649"
654,NE,CT,DXR,Danbury,Danbury Municipal,None,0%,"5,740"
655,GL,SD,ATY,Watertown,Watertown Regional,None,0%,"69,490"
656,SO,TN,MQY,Smyrna,Smyrna,None,0%,"10,100"
657,AL,AK,EII,Egegik,Egegik,None,0%,"13,869"
658,AL,AK,HYL,Hollis,Hollis Clark Bay,None,0%,"16,618"
659,AL,AK,KYU,Koyukuk,Koyukuk,None,0%,"11,669"
660,SO,NC,RWI,Rocky Mount,Rocky Mount-Wilson Regional,None,0%,"3,945"
661,AL,AK,9K2,Kokhanok,Kokhanok,None,0%,"13,916"
662,SW,LA,ARA,New Iberia,Acadiana Regional,None,0%,"7,283"
663,SW,AR,FYV,Fayetteville,Drake Field,None,0%,"12,017"
664,AL,AK,PTH,Port Heiden,Port Heiden,None,0%,"10,929"
665,AL,AK,TKE,Tenakee Springs,Tenakee,None,0%,"8,566"
666,GL,MI,GLR,Gaylord,Gaylord Regional,None,0%,"14,028"
667,GL,SD,HON,Huron,Huron Regional,None,0%,"20,160"
668,WP,HI,NGF,Kaneohe,Kaneohe Bay MCAS (Marion E Carl Field),None,0%,"7,796"
669,SO,FL,CRG,Jacksonville,Jacksonville Executive at Craig,None,0%,"1,064"
670,AL,AK,IGG,Igiugig,Igiugig,None,0%,"7,749"
671,AL,AK,ANV,Anvik,Anvik,None,0%,"11,198"
672,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,None,0%,"59,758"
673,AL,AK,AKK,Akhiok,Akhiok,None,0%,"12,378"
674,AL,AK,KGX,Grayling,Grayling,None,0%,"12,848"
675,SO,MS,GLH,Greenville,Greenville Mid-Delta,None,0%,"75,295"
676,NM,WY,WRL,Worland,Worland Municipal,None,0%,"28,913"
677,NM,WA,MWH,Moses Lake,Grant County International,None,0%,"22,433"
678,AL,AK,PPC,Prospect Creek,Prospect Creek,None,0%,"7,016"
679,GL,SD,RCA,Rapid City,Ellsworth AFB,None,0%,"8,985"
680,GL,MI,BIV,Holland,West Michigan Regional,None,0%,"10,288"
681,GL,MI,CVX,Charlevoix,Charlevoix Municipal,None,0%,"166,958"
682,NM,WA,6S9,Stehekin,Stehekin State,None,0%,"2,633"
683,GL,MI,VLL,Troy,Oakland/Troy,None,0%,"1,003"
684,AL,AK,WBQ,Beaver,Beaver,None,0%,"10,634"
685,SO,GA,WRB,Warner Robins,Robins AFB,None,0%,"15,873"
686,NM,WA,WA13,Chelan,Seaplane Landing Area,None,0%,"2,515"
687,AL,AK,PTU,Platinum,Platinum,None,0%,"9,919"
688,AL,AK,CIK,Chalkyitsik,Chalkyitsik,None,0%,"9,814"
689,SO,GA,LSF,Fort Benning (U.S. Army),Lawson AAF (Fort Benning),None,0%,"98,599"
690,AL,AK,SHX,Shageluk,Shageluk,None,0%,"11,359"
691,SO,GA,VAD,Valdosta,Moody AFB,None,0%,"6,811"
692,AL,AK,GBH,Galbraith Lake,Galbraith Lake,None,0%,"10,876"
693,WP,WK,AWK,Wake Island,Wake Island Airfield,None,0%,"4,073"
694,NM,ID,MUO,Mountain Home,Mountain Home AFB,None,0%,"8,010"
695,SW,OK,CSM,Burns Flat,Clinton-Sherman,None,0%,"1,482"
696,SO,FL,COF,Cocoa Beach,Patrick AFB,None,0%,"7,842"
697,WP,CA,NJK,El Centro,El Centro NAF,None,0%,"7,614"
698,AL,AK,ELV,Elfin Cove,Elfin Cove,None,0%,"5,265"
699,NM,WA,CLM,Port Angeles,William R Fairchild International,None,0%,"118,513"
700,SO,NC,HKY,Hickory,Hickory Regional,None,0%,"12,939"
701,AL,AK,MBA,Manokotak,Manokotak,None,0%,"120,145"
702,NM,WA,OKH,Oak Harbor,Aj Eisenberg,None,0%,"14,265"
703,WP,AZ,DMA,Tucson,Davis Monthan AFB,None,0%,"4,135"
704,AL,AK,4K0,Pedro Bay,Pedro Bay,None,0%,"6,767"
705,AL,AK,PNP,Pilot Point,Pilot Point,None,0%,"7,973"
706,EA,PA,PNE,Philadelphia,Northeast Philadelphia,None,0%,"4,553"
707,NM,WA,NUW,Oak Harbor,Whidbey Island NAS /Ault Field,None,0%,"8,962"
708,GL,MI,DET,Detroit,Coleman A Young Municipal,None,0%,"2,431"
709,NM,UT,HIF,Ogden,Hill AFB,None,0%,"11,751"
710,SW,TX,EFD,Houston,Ellington,None,0%,"46,554"
711,AL,AK,EAA,Eagle,Eagle,None,0%,"8,103"
712,SO,AL,27AL,Tuskegee,Little Texas,None,0%,738
713,CE,KS,GLD,Goodland,Renner Field /Goodland Municipal/,None,0%,"2,929"
714,SO,KY,PBX,Pikeville,Pike County-Hatcher Field,None,0%,318
715,NM,MT,32S,Stevensville,Stevensville,None,0%,"2,192"
716,AL,AK,PBV,St. George,St George,None,0%,"6,365"
717,AL,AK,RMP,Rampart,Rampart,None,0%,"2,504"
718,AL,AK,CJX,Crooked Creek,Crooked Creek,None,0%,"7,330"
719,AL,AK,KCL,Chignik Flats,Chignik Lagoon,None,0%,"5,678"
720,AL,AK,KNW,New Stuyahok,New Stuyahok,None,0%,"10,024"
721,AL,AK,CLP,Clarks Point,Clarks Point,None,0%,"6,256"
722,SW,AR,LRF,Jacksonville,Little Rock AFB,None,0%,"7,042"
723,SO,FL,MCF,Tampa,MacDill AFB,None,0%,"6,312"
724,CE,IA,CIN,Carroll,Arthur N Neu,None,0%,"2,615"
725,AL,AK,WSB,Steamboat Bay,Steamboat Bay,None,0%,581
726,NM,WA,S31,Lopez,Lopez Island,None,0%,"5,810"
727,AL,AK,JZZ,Koliganek,Koliganek,None,0%,"5,927"
728,SO,MS,UOX,Oxford,University-Oxford,None,0%,"2,424"
729,GL,WI,VOK,Camp Douglas,Volk Field,None,0%,"70,610"
730,WP,CA,VNY,Van Nuys,Van Nuys,None,0%,"21,843"
731,AL,AK,6K8,Tok,Tok Junction,None,0%,589
732,EA,VA,APH,Fort A. P. Hill,A.P. Hill AAF (Fort A P Hill),None,0%,0
733,AL,AK,OUL,Nelson Lagoon,Nelson Lagoon,None,0%,"3,334"
734,SW,OK,MLC,McAlester,McAlester Regional,None,0%,272
735,SO,AL,AUO,Auburn,Auburn University Regional,None,0%,"3,429"
736,WP,AZ,CHD,Chandler,Chandler Municipal,None,0%,"3,648"
737,SW,OK,HHW,Hugo,Stan Stamper Municipal,None,0%,878
738,SO,NC,INT,Winston-Salem,Smith Reynolds,None,0%,"14,655"
739,AL,AK,AHP,Port Alexander,Port Alexander,None,0%,"1,511"
740,NM,WY,SHR,Sheridan,Sheridan County,None,0%,"156,124"
741,EA,PA,AGC,West Mifflin,Allegheny County,None,0%,"5,344"
742,SW,OK,TQH,Tahlequah,Tahlequah Municipal,None,0%,504
743,CE,NE,MCK,McCook,McCook Ben Nelson Regional,None,0%,"21,161"
744,SO,FL,PAM,Panama City,Tyndall AFB,None,0%,"7,501"
745,SW,NM,LAM,Los Alamos,Los Alamos,None,0%,"6,096"
746,AL,AK,9Z8,Levelock,Levelock,None,0%,"5,416"
747,AL,AK,KFP,False Pass,False Pass,None,0%,"4,090"
748,NM,UT,KNB,Kanab,Kanab Municipal,None,0%,"1,874"
749,NM,WA,W49,Rosario,Rosario,None,0%,"7,923"
750,CE,IA,AMW,Ames,Ames Municipal,None,0%,"1,439"
751,AL,AK,AKA,Atka,Atka,None,0%,"3,268"
