,FAA Region,ST,Locid,City,Airport Name,Hub,04-14 perc. enplanements,Total Enplanements
125,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,S,0%,"5,719,707"
126,GL,ND,FAR,Fargo,Hector International,S,0%,"3,777,629"
127,SO,FL,ECP,Panama City,Northwest Florida Beaches International,S,0%,"1,939,099"
128,SO,FL,PGD,Punta Gorda,Punta Gorda,S,0%,"967,576"
129,NM,MT,BIL,Billings,Billings Logan International,S,0%,"4,493,981"
130,GL,MI,FNT,Flint,Bishop International,S,0%,"5,433,482"
131,AL,AK,JNU,Juneau,Juneau International,S,0%,"4,073,214"
132,SO,TN,CHA,Chattanooga,Lovell Field,N,0%,"3,226,295"
133,SO,NC,AVL,Asheville,Asheville Regional,N,0%,"3,514,589"
134,SW,TX,MFE,McAllen,McAllen Miller International,N,0%,"3,923,985"
135,EA,NJ,TTN,Trenton,Trenton Mercer,N,0%,"595,080"
136,SO,NC,ILM,Wilmington,Wilmington International,N,0%,"4,096,237"
137,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,N,0%,"4,121,624"
138,NM,OR,MFR,Medford,Rogue Valley International - Medford,N,0%,"3,275,593"
139,GL,IL,MLI,Moline,Quad City International,N,0%,"4,788,660"
140,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",N,0%,"4,624,252"
141,SO,FL,EYW,Key West,Key West International,N,0%,"3,423,571"
142,GL,IN,FWA,Fort Wayne,Fort Wayne International,N,0%,"3,180,717"
143,NM,MT,MSO,Missoula,Missoula International,N,0%,"3,188,063"
144,NM,WA,PSC,Pasco,Tri-Cities,N,0%,"3,056,367"
145,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,N,0%,"4,528,244"
146,SW,TX,CRP,Corpus Christi,Corpus Christi International,N,0%,"4,040,707"
147,SO,FL,TLH,Tallahassee,Tallahassee International,N,0%,"4,510,866"
148,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,N,0%,"3,745,732"
149,EA,PA,ABE,Allentown,Lehigh Valley International,N,0%,"4,311,845"
150,GL,IL,PIA,Peoria,General Downing - Peoria International,N,0%,"2,908,589"
151,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,N,0%,"4,542,540"
152,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,N,0%,"4,312,453"
153,GL,IN,SBN,South Bend,South Bend International,N,0%,"3,763,187"
154,NM,WY,JAC,Jackson,Jackson Hole,N,0%,"3,046,810"
155,SO,FL,DAB,Daytona Beach,Daytona Beach International,N,0%,"3,104,214"
156,EA,VA,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,N,0%,"3,489,934"
157,SW,LA,SHV,Shreveport,Shreveport Regional,N,0%,"3,132,083"
158,GL,WI,GRB,Green Bay,Green Bay-Austin Straubel International,N,0%,"4,043,682"
159,NM,OR,RDM,Redmond,Roberts Field,N,0%,"2,408,056"
160,SO,AL,MOB,Mobile,Mobile Regional,N,0%,"3,217,821"
161,EA,VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,N,0%,"2,233,133"
162,NE,ME,BGR,Bangor,Bangor International,N,0%,"4,035,959"
163,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,N,0%,"2,304,305"
164,GL,SD,RAP,Rapid City,Rapid City Regional,N,0%,"2,802,195"
165,GL,ND,BIS,Bismarck,Bismarck Municipal,N,0%,"2,183,774"
166,SW,TX,HRL,Harlingen,Valley International,N,0%,"4,271,021"
167,GL,WI,ATW,Appleton,Appleton International,N,0%,"2,931,948"
168,SW,LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,N,0%,"2,331,871"
169,NM,MT,GPI,Kalispell,Glacier Park International,N,0%,"2,052,099"
170,WP,NV,BVU,Boulder City,Boulder City Municipal,N,0%,"1,472,290"
171,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,N,0%,"2,275,618"
172,EA,WV,CRW,Charleston,Yeager,N,0%,"2,957,513"
173,SO,FL,MLB,Melbourne,Melbourne International,N,0%,"2,012,139"
174,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,N,0%,"2,324,921"
175,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,N,0%,"2,376,743"
176,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,N,0%,"2,352,229"
177,NM,CO,GJT,Grand Junction,Grand Junction Regional,N,0%,"2,148,942"
178,SO,FL,GNV,Gainesville,Gainesville Regional,N,0%,"1,801,215"
179,GL,MI,TVC,Traverse City,Cherry Capital,N,0%,"2,091,433"
180,GL,IN,EVV,Evansville,Evansville Regional,N,0%,"2,114,978"
181,SO,PR,BQN,Aguadilla,Rafael Hernandez,N,0%,"2,170,956"
182,EA,VA,PHF,Newport News,Newport News/Williamsburg International,N,0%,"4,868,599"
183,NM,CO,DRO,Durango,Durango-La Plata County,N,0%,"1,622,979"
184,GL,IL,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,N,0%,"2,689,971"
185,NM,MT,GTF,Great Falls,Great Falls International,N,0%,"1,748,587"
186,GL,ND,MOT,Minot,Minot International,N,0%,"1,341,195"
187,EA,PA,LBE,Latrobe,Arnold Palmer Regional,N,0%,"478,696"
188,GL,MI,LAN,Clinton (Township of),Capital Region International,N,0%,"2,487,248"
189,WP,CA,MRY,Monterey,Monterey Regional,N,0%,"2,153,389"
190,SW,TX,GRK,Killeen,Robert Gray AAF,N,0%,"2,187,030"
191,SO,VI,STX,Christiansted,Henry E Rohlsen,N,0%,"2,006,847"
192,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),N,0%,"2,015,242"
193,CE,NE,LNK,Lincoln,Lincoln,N,0%,"1,785,017"
194,SW,LA,AEX,Alexandria,Alexandria International,N,0%,"1,787,937"
195,AL,AK,BET,Bethel,Bethel,N,0%,"1,592,613"
196,NM,CO,EGE,Eagle,Eagle County Regional,N,0%,"2,141,032"
197,NE,MA,ACK,Nantucket,Nantucket Memorial,N,0%,"2,422,116"
198,EA,NY,ELM,Elmira,Elmira/Corning Regional,N,0%,"1,303,681"
199,SO,NC,OAJ,Jacksonville,Albert J Ellis,N,0%,"1,440,798"
200,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,N,0%,"1,626,940"
201,WP,AZ,1G4,Peach Springs,Grand Canyon West,N,0%,"844,769"
202,GL,ND,GFK,Grand Forks,Grand Forks International,N,0%,"1,203,791"
203,WP,CA,SBP,San Luis Obispo,San Luis County Regional,N,0%,"1,632,495"
204,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,N,0%,"1,028,203"
205,EA,NY,SWF,Newburgh,Stewart International,N,0%,"2,570,959"
206,EA,PA,UNV,State College,University Park,N,0%,"1,521,361"
207,EA,NY,PBG,Plattsburgh,Plattsburgh International,N,0%,"759,839"
208,GL,MN,DLH,Duluth,Duluth International,N,0%,"1,644,148"
209,WP,CA,STS,Santa Rosa,Charles M Schulz - Sonoma County,N,0%,"776,875"
210,GL,WI,CWA,Mosinee,Central Wisconsin,N,0%,"1,608,244"
211,AL,AK,KTN,Ketchikan,Ketchikan International,N,0%,"1,173,076"
212,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,N,0%,"1,827,910"
213,EA,NY,IAG,Niagara Falls,Niagara Falls International,N,0%,"465,544"
214,WP,CA,BFL,Bakersfield,Meadows Field,N,0%,"1,541,564"
215,GL,MI,MBS,Saginaw,MBS International,N,0%,"1,797,533"
216,GL,MN,RST,Rochester,Rochester International,N,0%,"1,435,626"
217,SW,LA,MLU,Monroe,Monroe Regional,N,0%,"1,166,272"
218,SW,TX,LRD,Laredo,Laredo International,N,0%,"1,138,130"
219,SO,NC,EWN,New Bern,Coastal Carolina Regional,N,0%,"1,212,288"
220,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,N,0%,"1,166,697"
221,GL,IL,RFD,Rockford,Chicago/Rockford International,N,0%,"1,066,463"
222,NM,WY,CPR,Casper,Casper/Natrona County International,N,0%,"911,877"
223,NM,CO,MTJ,Montrose,Montrose Regional,N,0%,"938,412"
224,GL,ND,ISN,Williston,Sloulin Field International,N,0%,"347,826"
225,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,N,0%,"907,486"
226,NM,MT,HLN,Helena,Helena Regional,N,0%,"1,011,045"
227,SO,PR,PSE,Ponce,Mercedita,N,0%,"923,355"
228,AL,AK,ENA,Kenai,Kenai Municipal,N,0%,"1,017,965"
229,GL,WI,LSE,La Crosse,La Crosse Regional,N,0%,"1,201,042"
230,GL,OH,TOL,Toledo,Toledo Express,N,0%,"1,560,854"
231,NM,CO,HDN,Hayden,Yampa Valley,N,0%,"1,280,863"
232,GL,IL,SPI,Springfield,Abraham Lincoln Capital,N,0%,"792,408"
233,WP,HI,MKK,Kaunakakai,Molokai,N,0%,"856,652"
234,SW,TX,CLL,College Station,Easterwood Field,N,0%,"884,782"
235,GL,IL,CMI,Savoy,University of Illinois-Willard,N,0%,"1,102,400"
236,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,N,0%,"1,469,093"
